Nom_exploitant;Raison_sociale;Description_infraction;Adresse_lieu_infraction;Type_etablissement;Information_etablissement;Date_infraction;Date_jugement;Date_publication;Amende;SOC_CD_LOI;SOC_NOM_LOI;SOC_CD_REGL;SOC_NOM_REGL;SOC_CD_ARTCL_INFRC;SOC_NOM_ARTCL_INFRC;SOC_CD_POURS;SOC_DESC_POURS;SOC_CD_REGRP_TYP_ENTT;SOC_DESC_REGRP_TYP_ENTT;
9390-5172 QUEBEC INC.;DELI 365;NUL NE PEUT, SANS ETRE TITULAIRE D'UN PERMIS EN VIGUEUR, EXPLOITER UN LIEU OU UN VEHICULE OU EST EXERCEE L'ACTIVITE DE RESTAURATEUR.;365 RUE BERNARD OUEST MONTREAL, (QC) H2V1T6;RESTAURANT METS A EMPORTER;;2021-11-09 00:00;2023-03-13 00:00;2023-03-13 00:00;5 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);               ;;9;;3;VILLE DE MONTREAL;21;RESTAURATION;
9255-2124 QUEBEC INC.;RESTAURANT TCHANG KIANG;LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.;6066 RUE SHERBROOKE OUEST MONTREAL, (QC) H4A1Y1;RESTAURANT;;2021-11-09 00:00;2023-04-17 00:00;2023-04-17 00:00;800 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.1               ;INSALUBRITE;3;VILLE DE MONTREAL;21;RESTAURATION;
ALIMENTS SHANTI INC.;DEVI;LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.;1450 RUE CRESCENT MONTREAL, (QC) H3G2B6;RESTAURANT;;2021-11-10 00:00;2023-02-16 00:00;2023-02-16 00:00;2 300 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.2               ;;3;VILLE DE MONTREAL;21;RESTAURATION;
9346-8684 QUEBEC INC.;POISSONERIE ET FRUIT DE MER SAILOR'S;LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.;751 BOULEVARD DE LA COTE-VERTU MONTREAL, (QC) H4L1Y6;RESTAURANT;;2021-11-16 00:00;2023-03-13 00:00;2023-03-13 00:00;1 100 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.1               ;INSALUBRITE;3;VILLE DE MONTREAL;21;RESTAURATION;
9180-8667 QUEBEC INC.;LA MAISON BULGOGI;LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.;2127 RUE SAINTE-CATHERINE OUEST MONTREAL, (QC) H3H1M6;RESTAURANT;;2021-11-18 00:00;2023-03-13 00:00;2023-03-13 00:00;2 200 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.1               ;INSALUBRITE;3;VILLE DE MONTREAL;21;RESTAURATION;
7785763 CANADA INC.;SPARTA ROTISSERIE & GRILL;LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.;4024B RUE SAINTE-CATHERINE OUEST WESTMOUNT, (QC) H3Z1P2;RESTAURANT;L'exploitant, qui opérait à la date de l'infraction, a cessé ses opérations;2021-11-22 00:00;2023-02-13 00:00;2023-02-13 00:00;1 200 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.1               ;INSALUBRITE;3;VILLE DE MONTREAL;21;RESTAURATION;
RESTAURANT PHO MONT-ROYAL INC.;PHO MONT-ROYAL;LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.;1235 AVENUE DU MONT-ROYAL EST MONTREAL, (QC) H2J1Y2;RESTAURANT;L'exploitant, qui opérait à la date de l'infraction, a cessé ses opérations;2021-11-24 00:00;2023-06-05 00:00;2023-06-05 00:00;3 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.1               ;INSALUBRITE;3;VILLE DE MONTREAL;21;RESTAURATION;
CUISINE PASTA CASARECCIA INC.;CUISINE PASTA CASARECCIA INC.;LES PERSONNES AFFECTEES A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT DOIVENT: PORTER UN BONNET OU UNE RESILLE PROPRE QUI RECOUVRE ENTIEREMENT LES CHEVEUX: PORTER UN COUVRE-BARBE PROPRE QUI RECOUVRE ENTIEREMENT LA BARBE.;5849 RUE SHERBROOKE OUEST MONTREAL, (QC) H4A1X4;CHARCUTERIE;;2021-12-02 00:00;2023-02-20 00:00;2023-02-20 00:00;700 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.3               ;PERSONNEL;3;VILLE DE MONTREAL;2;PRODUITS CARNÉS;
9339-0698 QUEBEC INC.;TIKI MING;LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.;1500 AVENUE MCGILL COLLEGE A-027 MONTREAL, (QC) H3A3J5;RESTAURANT;;2021-12-02 00:00;2023-03-13 00:00;2023-03-13 00:00;3 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.2               ;;3;VILLE DE MONTREAL;21;RESTAURATION;
9378-2068 QUEBEC INC.;RAM SWEET SHOP;LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.;1016 RUE JEAN-TALON OUEST MONTREAL, (QC) H3N1T1;EPICERIE/BOUCHERIE;;2021-12-09 00:00;2023-03-13 00:00;2023-03-13 00:00;2 400 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.2               ;;3;VILLE DE MONTREAL;20;DÉTAIL;
JAURA IMPORTATION INC.;BOULANGERIE VAN HORNE BAGEL;LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.;5497 AVENUE VICTORIA MONTREAL, (QC) H3W2P9;EPICERIE/BOUCHERIE;L'exploitant, qui opérait à la date de l'infraction, a cessé ses opérations;2021-12-14 00:00;2023-02-13 00:00;2023-02-13 00:00;1 700 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.2               ;;3;VILLE DE MONTREAL;20;DÉTAIL;
LE PETIT SENEGAL INC.;LE PETIT SENEGAL INC.;LE PRODUIT PERISSABLE VENDU CHAUD OU SERVI CHAUD AU CONSOMMATEUR DOIT ETRE GARDE A UNE TEMPERATURE INTERNE D'AU MOINS 60C JUSQU'A SA LIVRAISON.;5176 CHEMIN QUEEN-MARY MONTREAL, (QC) H3W1X5;RESTAURANT;;2021-11-10 00:00;2023-02-13 00:00;2023-02-13 00:00;1 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;1.4.1               ;TEMPERATURE DE CONSERVATION;3;VILLE DE MONTREAL;21;RESTAURATION;
LE PETIT SENEGAL INC.;LE PETIT SENEGAL INC.;LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.;5176 CHEMIN QUEEN-MARY MONTREAL, (QC) H3W1X5;RESTAURANT;;2021-11-10 00:00;2023-02-13 00:00;2023-02-13 00:00;1 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.2               ;;3;VILLE DE MONTREAL;21;RESTAURATION;
G.B.LA REFERENCE INC.;G.B. LA REFERENCE;LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.;5852 RUE BELANGER MONTREAL, (QC) H1T1G6;EPICERIE/BOUCHERIE;;2021-11-11 00:00;2024-07-16 00:00;2024-07-16 00:00;1 500 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.2               ;;3;VILLE DE MONTREAL;20;DÉTAIL;
9331-6701 QUEBEC INC.;RESTAURANT CHIYOKO;LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.;2113 RUE SAINT-LOUIS MONTREAL, (QC) H4M1P1;RESTAURANT;L'exploitant, qui opérait à la date de l'infraction, a cessé ses opérations;2021-11-11 00:00;2023-10-10 00:00;2023-10-10 00:00;2 500 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.2               ;;3;VILLE DE MONTREAL;21;RESTAURATION;
PIKEOS RESTAURANT INC.;RESTAURANT PIKEOS;LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.;4293 RUE NOTRE-DAME OUEST MONTREAL, (QC) H4C1R6;RESTAURANT;L'exploitant, qui opérait à la date de l'infraction, a cessé ses opérations;2021-11-11 00:00;2023-06-05 00:00;2023-06-05 00:00;2 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.1               ;INSALUBRITE;3;VILLE DE MONTREAL;21;RESTAURATION;
BOULANGERIE LES DELICES DE MAELLE INC.;BOULANGERIE MAELLE;LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.;200 RUE JARRY EST MONTREAL, (QC) H2P1T5;PATISSERIE;L'exploitant, qui opérait à la date de l'infraction, a cessé ses opérations;2021-11-12 00:00;2023-06-05 00:00;2023-06-05 00:00;1 600 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.2               ;;3;VILLE DE MONTREAL;20;DÉTAIL;
6493343 CANADA INC.;RESTAURANT INDIAN KWALITY;LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.;4771 BOULEVARD DES SOURCES MONTREAL, (QC) H8Y3C6;RESTAURANT;;2021-11-12 00:00;2023-02-13 00:00;2023-02-13 00:00;2 800 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.1               ;INSALUBRITE;3;VILLE DE MONTREAL;21;RESTAURATION;
9388-9830 QUEBEC INC.;ICHI SUSHI;LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.;102 AVENUE DU MONT-ROYAL OUEST MONTREAL, (QC) H2T2T1;RESTAURANT;;2021-12-21 00:00;2023-08-30 00:00;2023-08-30 00:00;1 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.1               ;INSALUBRITE;3;VILLE DE MONTREAL;21;RESTAURATION;
9263-9004 QUEBEC INC.;RESTAURANT AMIR HENRI-BOURASSA;LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.;6148 BOULEVARD HENRI-BOURASSA EST MONTREAL, (QC) H1G5X3;RESTAURANT;L'exploitant, qui opérait à la date de l'infraction, a cessé ses opérations;2022-01-20 00:00;2023-06-05 00:00;2023-06-05 00:00;1 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.1               ;INSALUBRITE;3;VILLE DE MONTREAL;21;RESTAURATION;
