id	module	archive_path	path_fr	path_en	title_fr	title_en	description_fr	description_en	source_url	license	format	delimiter	rows	cols
module01-bibliotheques	1	data/bibliotheques_publiques_quebec_2024.csv	module_01/data/bibliotheques_publiques_quebec_2024.csv	en/module_01/data/bibliotheques_publiques_quebec_2024.csv	Bibliothèques publiques du Québec, 2024	Quebec public libraries, 2024	Statistiques de 188 bibliothèques publiques et centres régionaux du Québec.	Statistics for 188 Quebec public libraries and regional centres.	https://www.donneesquebec.ca/recherche/dataset/statistiques_des_bibliotheques_publiques_du_quebec	CC BY 4.0	csv	,	188	6
module01-portail	1	data/frequentation_portail_montreal_2023.csv	module_01/data/frequentation_portail_montreal_2023.csv	en/module_01/data/frequentation_portail_montreal_2023.csv	Fréquentation du portail de Montréal, 2023	Montreal Open Data Portal traffic, 2023	Fréquentation de pages du portail de données ouvertes de Montréal pendant une journée.	Page traffic on Montreal's Open Data Portal during one day.	https://donnees.montreal.ca/dataset/frequentation-du-portail-de-donnees-ouvertes	CC BY 4.0	csv	,	126	6
manchots-donnees	2	resources/manchots_donnees.xlsx	module_02/resources/manchots_donnees.xlsx	en/module_02/resources/manchots_donnees.xlsx	Données de manchots pour Excel	Penguin data for Excel	Feuille Excel préparée pour apprendre l'importation et la visualisation.	Excel workbook prepared for learning data import and visualization.	https://allisonhorst.github.io/palmerpenguins/	Matériel pédagogique du cours	xlsx		322	7
module02-arbres	2	data/arbres_repertories_quebec.csv	module_02/data/arbres_repertories_quebec.csv	en/module_02/data/arbres_repertories_quebec.csv	Arbres répertoriés de Québec	Quebec City public trees	Extrait de 500 arbres de l'inventaire public de la Ville de Québec.	A 500-tree extract from Quebec City's public inventory.	https://www.donneesquebec.ca/recherche/dataset/34103a43-3712-4a29-92e1-039e9188e915	CC BY 4.0	csv	,	500	7
module02-velo	2	data/comptages_cyclistes_quebec_2026.csv	module_02/data/comptages_cyclistes_quebec_2026.csv	en/module_02/data/comptages_cyclistes_quebec_2026.csv	Compteurs cyclistes de Québec, 2026	Quebec City cycling counters, 2026	Instantané des totaux publiés par onze sites de comptage cycliste.	Snapshot of totals published by eleven cycling count sites.	https://villedequebec.eco-counter.com/	Conditions de la source	csv	,	11	6
module03-requetes-311	3	data/requetes_311_montreal.csv	module_03/data/requetes_311_montreal.csv	en/module_03/data/requetes_311_montreal.csv	Requêtes 311 de Montréal	Montreal 311 requests	Extrait de 750 demandes de services citoyennes 311.	A 750-row extract of 311 citizen service requests.	https://donnees.montreal.ca/dataset/requete-311	CC BY 4.0	csv	,	750	5
module03-plaintes	3	data/plaintes_consommation_quebec.csv	module_03/data/plaintes_consommation_quebec.csv	en/module_03/data/plaintes_consommation_quebec.csv	Plaintes de consommation au Québec	Quebec consumer complaints	Extrait de 750 plaintes reçues par l'Office de la protection du consommateur.	A 750-row extract of complaints received by Quebec's consumer protection office.	https://www.donneesquebec.ca/recherche/dataset/liste-des-plaintes-recues	CC BY 4.0	csv	,	750	5
policies-module-04	4	policies.csv	module_04/policies.csv	en/module_04/policies.csv	Polices d'assurance de pratique	Practice insurance policies	Petit fichier de polices utilisé pour diagnostiquer les types et les valeurs.	Small policy file used to diagnose types and values.		Matériel pédagogique du cours	csv	,	15	9
coverage-module-04	4	coverage.json	module_04/coverage.json	en/module_04/coverage.json	Couvertures d'assurance en JSON	Insurance coverage JSON	Petit fichier JSON utilisé pour apprendre les données imbriquées.	Small JSON file used to learn nested data.		Matériel pédagogique du cours	json		2	2
quotes-module-04	4	resources/quotes_2024.xlsx	module_04/resources/quotes_2024.xlsx	en/module_04/resources/quotes_2024.xlsx	Soumissions d'assurance 2024	2024 insurance quotes	Feuille Excel contenant cinq soumissions de pratique.	Excel workbook containing five practice quotes.		Matériel pédagogique du cours	xlsx		5	3
