country,continent,region,year,life_expectancy,fertility,population,gdp,infant_mortality,literacy,educ,oil_prod,net_users,area,roadways,country_code
Albania,Europe,Southern Europe,1960,62.87,6.19,1636054,11900,115.4,NA,3.3,20510,>35%,28748,0.626130513427021,ALB
Algeria,Africa,Northern Africa,1960,47.5,7.65,11124892,13828152297,148.2,NA,4.3,1420000,>15%,2381741,0.047719294415303766,DZA
Angola,Africa,Middle Africa,1960,35.98,7.32,5270844,7300,208,NA,3.5,1742000,>15%,1246700,0.0412521055586749,AGO
Antigua and Barbuda,Americas,Caribbean,1960,62.97,4.43,54681,23600,NA,NA,2.4,0,>60%,443,2.641083521444695,ATG
Argentina,Americas,South America,1960,65.39,3.11,20619075,108322326649,59.87,NA,6.3,532100,>35%,2780400,0.08321608401668824,ARG
Armenia,Asia,Western Asia,1960,66.86,4.55,1867396,8500,NA,NA,3.3,0,>35%,29743,0.2590525501798743,ARM
Aruba,Americas,Caribbean,1960,65.66,4.82,54208,25300,NA,NA,6,0,>60%,180,NA,ABW
Australia,Oceania,Australia and New Zealand,1960,70.87,3.45,10292328,96677859364,20.3,NA,5.6,354300,>60%,7741220,0.10634202360868183,AUS
Austria,Europe,Western Europe,1960,68.75,2.7,7065525,52392699681,37.3,NA,5.9,21760,>60%,83871,1.484517890570042,AUT
Azerbaijan,Asia,Western Asia,1960,61.33,5.57,3897889,18000,NA,NA,2.4,845900,>35%,86600,0.6113394919168591,AZE
Bahamas,Americas,Caribbean,1960,62,4.5,109526,1306269490,51,NA,NA,0,>60%,13880,0.19452449567723343,BHS
Bahrain,Asia,Western Asia,1960,51.64,7.09,162501,50100,134.5,NA,2.6,49500,>60%,760,5.423684210526316,BHR
Bangladesh,Asia,Southern Asia,1960,46.2,6.73,48200702,12767231590,176.3,NA,2.2,4000,>5%,143998,0.14770344032556007,BGD
Barbados,Americas,Caribbean,1960,61.8,4.33,230934,784120376,69.5,NA,5.6,1000,>60%,430,3.7209302325581395,BRB
Belarus,Europe,Eastern Europe,1960,71.59,2.74,8190027,17700,NA,NA,5.1,30000,>35%,207600,0.41614643545279384,BLR
Belgium,Europe,Western Europe,1960,69.59,2.6,9140563,68236665814,29.5,NA,6.6,0,>60%,30528,5.0449423480083855,BEL
Belize,Americas,Central America,1960,60.08,6.5,92068,86532304,NA,NA,6.6,1818,>15%,22966,0.12496734302882521,BLZ
Benin,Africa,Western Africa,1960,38.29,6.28,2431620,621797131,186.9,NA,5.3,0,>0%,112622,0.14206815719841595,BEN
Bhutan,Asia,Southern Asia,1960,35.94,6.67,224108,8200,175,NA,4.7,0,>15%,38394,0.27551179871854975,BTN
Bolivia,Americas,South America,1960,43.77,6.7,3693451,3001815692,173.4,NA,6.9,51130,>35%,1098581,0.07326542148462425,BOL
Bosnia and Herzegovina,Europe,Southern Europe,1960,62.56,4.05,3214520,10500,105,NA,NA,0,>60%,51197,0.4477996757622517,BIH
Botswana,Africa,Southern Africa,1960,50.34,6.62,524029,124460933,115.5,NA,9.5,0,>5%,581730,0.030797792790469805,BWA
Brazil,Americas,South America,1960,55.27,6.21,72493585,105343379555,129.4,NA,5.8,2255000,>35%,8514877,0.18567079712366955,BRA
Brunei,Asia,South-Eastern Asia,1960,62.52,6.49,81825,79700,63,NA,3.5,126500,>60%,5765,0.5254119687771032,BRN
Bulgaria,Europe,Eastern Europe,1960,69.22,2.25,7866472,19100,49,NA,4.1,1000,>35%,110879,0.1759756130556733,BGR
Burkina Faso,Africa,Western Africa,1960,35.21,6.29,4829291,596612183,161.3,NA,3.4,0,>0%,274200,0.055696571845368345,BFA
Burundi,Africa,Eastern Africa,1960,40.58,6.95,2786740,341126765,145.1,NA,5.8,0,>0%,27830,0.4427596119295724,BDI
Cambodia,Asia,South-Eastern Asia,1960,42.29,6.97,5722370,3500,NA,NA,2.6,0,>5%,181035,0.2188416604523987,KHM
Cameroon,Africa,Middle Africa,1960,43.46,5.65,5361367,2537944080,166.9,NA,3.2,80830,>5%,475440,0.10800521622076392,CMR
Canada,Americas,Northern America,1960,71,3.91,17909232,167894860728,27.8,NA,5.4,3890000,>60%,9984670,0.10439002991586102,CAN
Cape Verde,Africa,Western Africa,1960,50.12,6.89,202316,6500,NA,NA,5,0,>35%,4033,0.33473840813290356,CPV
Central African Republic,Africa,Middle Africa,1960,37.43,5.84,1503501,534982718,165.5,NA,1.2,0,>0%,622984,0.032549792611046194,CAF
Chad,Africa,Middle Africa,1960,40.95,6.25,3002596,750173439,NA,NA,2.3,103400,>0%,1284000,0.03115264797507788,TCD
Chile,Americas,South America,1960,56.85,5.58,7695692,14087170195,127.6,NA,4.5,6666,>60%,756102,0.10284855746975938,CHL
China,Asia,Eastern Asia,1960,30.53,3.99,644450173,70348527260,190,NA,NA,4189000,>35%,9596960,0.4278841424784515,CHN
Colombia,Americas,South America,1960,58.03,6.81,16480384,19017657851,89.3,NA,4.4,989900,>35%,1138910,0.1241309673284105,COL
Comoros,Africa,Eastern Africa,1960,44.04,6.79,188732,1500,200,NA,7.6,0,>5%,2235,0.39373601789709173,COM
"Congo, Dem. Rep.",Africa,Middle Africa,1960,43.9,6,15248246,4992962083,174,NA,2.5,20000,>0%,2344858,0.06546110681329104,COD
"Congo, Rep.",Africa,Middle Africa,1960,48.25,5.88,1013581,626127041,110.6,NA,6.2,250000,>0%,342000,0.05055263157894737,COG
Costa Rica,Americas,Central America,1960,61.97,7.31,1333042,2398494445,86.54,NA,6.3,0,>35%,51100,0.7635616438356164,CRI
Cote d'Ivoire,Africa,Western Africa,1960,38,7.35,3474724,2003623491,208.4,NA,4.6,36000,>0%,322463,0.25428033603855327,CIV
Croatia,Europe,Southern Europe,1960,64.85,2.33,4192634,21600,70,NA,4.3,10070,>60%,56594,0.5196663957309963,HRV
Cuba,Americas,Caribbean,1960,63.85,4.18,7141129,10200,37,NA,12.8,50000,>15%,110860,0.5489626556016598,CUB
Cyprus,Asia,Western Asia,1960,69.72,3.5,572929,32800,30,NA,7.3,0,>60%,9251,2.162577018700681,CYP
Czech Republic,Europe,Eastern Europe,1960,70.58,2.3,9578587,31600,22,NA,4.2,3000,>60%,78867,1.6568526760241926,CZE
Denmark,Europe,Northern Europe,1960,72.28,2.54,4580708,52164745342,21.3,NA,8.7,165200,>60%,43094,1.7155288439225878,DNK
Djibouti,Africa,Eastern Africa,1960,45.77,6.46,83636,3200,NA,NA,8.4,0,>5%,23200,0.13211206896551725,DJI
Dominican Republic,Americas,Caribbean,1960,53.37,7.56,3294039,3019307866,102.1,NA,2.2,0,>35%,48670,0.4048695294842819,DOM
Ecuador,Americas,South America,1960,54.09,6.69,4545548,3641530019,121.4,NA,4.4,556400,>35%,283561,0.15400566368435717,ECU
Egypt,Africa,Northern Africa,1960,48.31,6.63,27072397,12008501551,209.6,NA,3.8,478400,>35%,1001450,0.13723101502820909,EGY
El Salvador,Americas,Central America,1960,52.02,6.73,2762897,4017741905,126.2,NA,3.4,0,>15%,21041,0.3287866546266812,SLV
Equatorial Guinea,Africa,Middle Africa,1960,37.69,5.51,252115,31800,NA,NA,0.6,248000,>15%,28051,0.10267013653702185,GNQ
Eritrea,Africa,Eastern Africa,1960,39.03,6.9,1407631,1300,NA,NA,2.1,0,>0%,117600,0.034098639455782315,ERI
Estonia,Europe,Northern Europe,1960,69.42,1.95,1216831,28600,40,NA,5.7,0,>60%,45228,1.2915008401874946,EST
Ethiopia,Africa,Eastern Africa,1960,37.72,6.88,22151218,1800,162,NA,4.7,0,>0%,1104300,0.04016933804219868,ETH
Fiji,Oceania,Melanesia,1960,55.7,6.46,393383,437079701,54,NA,4.2,0,>35%,18274,0.18824559483419065,FJI
Finland,Europe,Northern Europe,1960,69.03,2.71,4430228,32363088296,21.9,NA,6.8,0,>60%,338145,0.2306702745863461,FIN
France,Europe,Western Europe,1960,70.49,2.77,45865699,349778187326,23.7,NA,5.9,15340,>60%,643801,1.5974594634056176,FRA
French Polynesia,Oceania,Polynesia,1960,56.28,5.66,78083,26100,NA,NA,NA,0,>35%,4167,0.6215502759779218,PYF
Gabon,Africa,Middle Africa,1960,38.83,4.38,499189,887289809,NA,NA,NA,240000,>5%,267667,0.03425898597884685,GAB
Gambia,Africa,Western Africa,1960,35.7,5.57,367929,1600,148.4,NA,4.1,0,>5%,11295,0.33111996458610005,GMB
Georgia,Asia,Western Asia,1960,63.5,2.96,4159769,9600,NA,NA,2,1000,>35%,69700,0.2741606886657102,GEO
Germany,Europe,Western Europe,1960,69.26,2.41,73179665,46900,34,NA,5.1,48830,>60%,357022,1.8066113572833047,DEU
Ghana,Africa,Western Africa,1960,46.34,6.75,6652285,1902005320,125.1,NA,8.1,105000,>15%,238533,0.4591188640565456,GHA
Greece,Europe,Southern Europe,1960,68.41,2.22,8311386,28208389534,48.3,NA,4.1,1162,>35%,131957,0.8863493410732284,GRC
Greenland,Americas,Northern America,1960,61.49,7.25,31238,37900,NA,NA,NA,0,>60%,2166086,NA,GRL
Grenada,Americas,Caribbean,1960,60.59,6.74,89861,13100,NA,NA,3.9,0,>35%,344,3.2761627906976742,GRD
Guatemala,Americas,Central America,1960,46.51,6.53,4127555,3989089865,146,NA,3,10040,>15%,108889,0.10562132079457062,GTM
Guinea,Africa,Western Africa,1960,35.71,6.1,3577413,1200,NA,NA,2.5,0,>0%,245857,0.1803812785480991,GIN
Guinea-Bissau,Africa,Western Africa,1960,43.14,5.83,616407,1500,NA,NA,NA,0,>0%,36125,0.0956401384083045,GNB
Guyana,Americas,South America,1960,59.08,5.67,564222,385886207,67.7,NA,3.2,0,>35%,214969,0.03707511315585038,GUY
Haiti,Americas,Caribbean,1960,42.1,6.32,3866160,1800,194.8,NA,NA,0,>5%,27750,0.15372972972972973,HTI
Honduras,Americas,Central America,1960,47.71,7.46,2002333,1502038539,140.9,NA,NA,0,>15%,112090,0.13151931483629226,HND
"Hong Kong, China",Asia,Eastern Asia,1960,67.45,5.16,3075752,56700,NA,NA,3.5,0,>60%,1108,1.8862815884476534,HKG
Hungary,Europe,Eastern Europe,1960,68.13,2.05,10001270,10486859064,53.4,NA,4.9,11410,>60%,93028,2.1452358429720086,HUN
Iceland,Europe,Northern Europe,1960,74.22,4.13,175520,1775037087,17.5,NA,7.6,0,>60%,103000,0.12514563106796117,ISL
India,Asia,Southern Asia,1960,41.26,5.87,449661874,81042654922,165.1,NA,3.2,767600,>15%,3287263,1.4266707592303993,IND
Indonesia,Asia,South-Eastern Asia,1960,45.01,5.67,87792512,18448917543,148.4,NA,2.8,789800,>15%,1904569,0.2607450819581753,IDN
Iran,Asia,Southern Asia,1960,46,6.93,21906905,17300,191.61,NA,3.7,3614000,>15%,1648195,0.12065683975500471,IRN
Iraq,Asia,Western Asia,1960,46.96,6.25,7289759,15500,131.7,NA,NA,3368000,>5%,438317,0.13602712192317432,IRQ
Ireland,Europe,Northern Europe,1960,70.76,3.86,2819059,55500,30.4,NA,6.4,0,>60%,70273,1.3666130661847367,IRL
