city,station,month,day_type,trips,median_duration_min,temperature_c,precipitation_mm
Quebec,Palais Station,May,weekday,124,16,15,0
Quebec,Palais Station,May,weekend,148,19,17,1
Quebec,University,June,weekday,182,14,21,0
Quebec,University,June,weekend,156,18,22,4
Quebec,Port,September,weekday,131,17,18,6
Quebec,Port,September,weekend,167,21,19,0
Montreal,Berri,May,weekday,384,13,16,0
Montreal,Berri,May,weekend,421,17,18,0
Montreal,Plateau,June,weekday,512,12,23,2
Montreal,Plateau,June,weekend,548,18,24,0
Montreal,Canal,September,weekday,438,15,19,5
Montreal,Canal,September,weekend,476,22,20,1
Sherbrooke,Downtown,May,weekday,86,15,14,3
Sherbrooke,Downtown,May,weekend,102,20,16,0
Sherbrooke,University,June,weekday,137,13,22,0
Sherbrooke,University,June,weekend,121,18,23,7
Sherbrooke,Lake,September,weekday,92,16,17,8
Sherbrooke,Lake,September,weekend,118,24,18,0
Gatineau,Museum,May,weekday,142,14,16,2
Gatineau,Museum,May,weekend,168,20,18,0
Gatineau,River,June,weekday,205,13,24,0
Gatineau,River,June,weekend,229,21,25,0
Gatineau,Market,September,weekday,176,16,19,4
Gatineau,Market,September,weekend,191,22,20,2
