city,borough,request_type,channel,priority,status,delay_days
Quebec,Sainte-Foy,Snow removal,Phone,Normal,Closed,4
Quebec,Sainte-Foy,Waste collection,Web,Normal,Closed,2
Quebec,Limoilou,Lighting,App,High,Open,6
Quebec,Limoilou,Potholes,Phone,High,Closed,8
Quebec,Beauport,Waste collection,Web,Normal,Closed,3
Quebec,Beauport,Noise,Phone,Low,Closed,5
Montreal,Rosemont,Waste collection,App,Normal,Closed,2
Montreal,Rosemont,Potholes,Web,High,Open,9
Montreal,Plateau,Noise,Phone,Low,Closed,4
Montreal,Plateau,Lighting,App,Normal,Closed,5
Montreal,Villeray,Snow removal,Web,Normal,Closed,3
Montreal,Villeray,Waste collection,Phone,Normal,Open,7
Sherbrooke,Jacques-Cartier,Lighting,Web,Normal,Closed,4
Sherbrooke,Jacques-Cartier,Noise,Phone,Low,Closed,6
Sherbrooke,Fleurimont,Potholes,App,High,Open,10
Sherbrooke,Fleurimont,Waste collection,Web,Normal,Closed,3
Gatineau,Hull,Snow removal,Phone,Normal,Closed,5
Gatineau,Hull,Lighting,App,High,Closed,7
Gatineau,Aylmer,Waste collection,Web,Normal,Closed,2
Gatineau,Aylmer,Noise,Phone,Low,Open,8
Levis,Old Levis,Potholes,Web,High,Closed,9
Levis,Old Levis,Waste collection,App,Normal,Closed,3
Levis,Saint-Romuald,Lighting,Phone,Normal,Closed,6
Levis,Saint-Romuald,Snow removal,Web,Normal,Open,7
