network,line,complaint_type,period,severity,status,n_complaints
RTC,801,Delay,Peak,Moderate,Closed,18
RTC,801,Crowding,Peak,Moderate,Open,12
RTC,800,Information,Off_peak,Low,Closed,7
RTC,807,Cleanliness,Off_peak,Low,Closed,5
RTC,807,Delay,Peak,High,Open,14
STM,Orange,Delay,Peak,High,Closed,42
STM,Orange,Crowding,Peak,Moderate,Open,36
STM,Green,Information,Off_peak,Low,Closed,21
STM,Blue,Cleanliness,Off_peak,Moderate,Closed,13
STM,Yellow,Accessibility,Peak,High,Open,9
STL,24,Delay,Peak,Moderate,Closed,16
STL,24,Crowding,Peak,Moderate,Open,11
STL,42,Information,Off_peak,Low,Closed,8
STL,56,Cleanliness,Off_peak,Low,Closed,6
RTL,45,Delay,Peak,Moderate,Closed,19
RTL,45,Accessibility,Peak,High,Open,10
RTL,90,Information,Off_peak,Low,Closed,9
RTL,90,Crowding,Peak,Moderate,Closed,13
exo,Candiac,Delay,Peak,High,Open,15
exo,Candiac,Information,Off_peak,Low,Closed,6
exo,Deux-Montagnes,Crowding,Peak,Moderate,Closed,17
exo,Deux-Montagnes,Cleanliness,Off_peak,Low,Closed,4
exo,Vaudreuil,Delay,Peak,High,Closed,22
exo,Vaudreuil,Accessibility,Off_peak,Moderate,Open,7
