Caracteristique,Valeur,Nb_menages,Nb_adultes,Nb_enfants,Nb_prestataires,Prestation_totale_versee,Prestations_de_base,Alloc_CTE,Alloc_mixte,Alloc_SS,Prest_base_Heberges
Programme,Programme d'aide sociale,133239,146204,51371,197575,107217063.86,92041,39578,1620,0,0
Programme,Programme de solidarité sociale,110070,114725,5924,120649,135593615.34,0,0,0,108119,1951
Situation familiale,Personnes seules,203010,203010,0,203010,200181295.32,71237,29053,0,100769,1951
Situation familiale,Couples sans enfants,8179,16358,0,16358,10464542.209,2660,703,1309,3507,0
Situation familiale,Familles monoparentales,22597,22597,38290,60887,20190652.947,10865,9052,0,2680,0
Situation familiale,Couples avec enfants,9441,18882,19005,37887,11946311.429,7221,761,311,1148,0
Situation familiale,Conjoint d'étudiant,82,82,0,82,27877.289999,58,9,0,15,0
Type de résidence,Locataire,94587,105507,34206,139713,93286635.936,37241,19305,957,37084,0
Type de résidence,Locataire HLM ou coopérative,30509,32768,12521,45289,31262988.875,7410,7034,253,15812,0
Type de résidence,Chambreur ou pensionnaire,105305,108819,8934,117753,106945040.66,42966,11222,317,50800,0
Type de résidence,Temporairement sans adresse,3779,3790,29,3819,3339474.3598,2313,537,1,928,0
Type de résidence,Propriété,6272,7188,1605,8793,6197752.4987,1205,1480,92,3495,0
Type de résidence,En hébergement,2857,2857,0,2857,1778786.8595,906,0,0,0,1951
Région,01 - Bas-Saint-Laurent,5448,5715,742,6457,5752813.7893,1277,856,18,3296,1
Région,02 - Saguenay-Lac-Saint-Jean,7401,7697,1083,8780,7607959.7991,2064,1290,32,3963,52
Région,03 - Capitale-Nationale,14786,15289,2319,17608,15091892.628,4258,2537,59,7929,3
Région,04 - Mauricie,10353,10789,2129,12918,10415208.019,3577,1792,47,4927,10
Région,05 - Estrie,14133,14904,3217,18121,14684516.608,4341,2391,78,7297,26
Région,06 - Montréal,85573,95476,25762,121238,82106940.121,46156,12795,629,25977,16
Région,07 - Outaouais,11260,11824,3170,14994,11056460.179,3973,2166,64,5054,3
Région,08 - Abitibi-Témiscamingue,3474,3616,637,4253,3507588.2696000002,1018,584,7,1865,0
Région,09 - Côte-Nord,1821,1891,338,2229,1849351.9798,514,332,8,967,0
Région,10 - Nord-du-Québec,923,983,322,1305,847872.49994,440,169,6,308,0
Région,11 - Gaspésie-Îles-de-la-Madeleine,3046,3231,388,3619,3232251.5096,656,504,15,1871,0
Région,12 - Chaudière-Appalaches,7616,7932,1225,9157,7871306.0491,1998,1088,22,4505,3
Région,13 - Laval,7949,8618,1854,10472,8299737.2992,2209,1575,181,3983,1
Région,14 - Lanaudière,11130,11642,2494,14136,11171460.159,3085,2246,77,5714,8
Région,15 - Laurentides,13515,14117,2652,16769,13716058.428,3975,2472,64,6990,14
Région,16 - Montérégie,28778,30051,6421,36472,29344503.597,8567,4992,149,15061,9
Région,17 - Centre-du-Québec,7236,7562,1515,9077,7235430.7392,2354,1222,30,3623,7
Région,98 - Direction provinciale à distance,2274,2929,1012,3941,2231494.42,1571,563,134,6,0
Région,Directions centrales,6592,6662,15,6677,6787207.0996,7,4,0,4783,1798
Région,10 - Nord-du-Québec,1,1,0,1,626,1,0,0,0,0
Clientèle supplémentée,Allocations_aide_emploi,817,817,417,1234,582165.0199,535,62,1,218,1
Clientèle supplémentée,Allocations_soutien,2045,2045,181,2226,2546351.8798,387,9,0,1639,10
Clientèle supplémentée,Revenus_travail,7518,7566,2387,9953,6312304.2285,2625,1705,121,3060,7
Clientèle supplémentée,Prestations_assurance_emploi,346,348,81,429,206785.20996,134,119,5,88,0
Clientèle supplémentée,Contribution_parentale,80,80,0,80,38108.039999,50,30,0,0,0
Clientèle supplémentée,Pension_alimentaire,6891,6893,11651,18544,5794151.9788,2901,2790,14,1185,1
Clientèle supplémentée,RRQ_invalidite,10568,10588,449,11037,6076540.0255,0,1,0,10564,3
Clientèle supplémentée,RRQ_retraite,29899,30356,1094,31450,29357383.117,35,13689,571,15399,205
Clientèle supplémentée,Revenus_autres,10760,10632,1443,12075,10282905.648,1383,1518,147,7678,34
Clientèle supplémentée,Total_distinct,63262,64128,16097,80225,57026399.329,7647,18336,722,36302,255
