visit_date,hour,campus,area,visitors,temperature_c,rain_mm,exam_week
2026-04-01,8,Quebec,Silent,34,5,0,no
2026-04-01,12,Quebec,Collaboration,58,7,0,no
2026-04-01,17,Levis,Computers,41,6,0.4,no
2026-04-02,9,Quebec,Silent,39,4,3.2,no
2026-04-02,14,Levis,Collaboration,44,5,2.1,no
2026-04-03,18,Quebec,Computers,63,8,0,no
2026-04-06,8,Quebec,Silent,52,9,0,yes
2026-04-06,12,Quebec,Collaboration,86,11,0,yes
2026-04-06,17,Levis,Computers,57,10,0.8,yes
2026-04-07,9,Quebec,Silent,61,8,1.5,yes
2026-04-07,14,Levis,Collaboration,66,9,0,yes
2026-04-08,18,Quebec,Computers,93,12,0,yes
2026-04-09,8,Quebec,Silent,55,7,4.2,yes
2026-04-09,12,Levis,Collaboration,62,8,5.1,yes
2026-04-10,17,Quebec,Computers,88,13,0,yes
2026-04-13,8,Quebec,Silent,37,10,0,no
2026-04-13,12,Quebec,Collaboration,54,12,0,no
2026-04-13,17,Levis,Computers,46,11,0.6,no
2026-04-14,9,Quebec,Silent,42,9,2.4,no
2026-04-14,14,Levis,Collaboration,47,10,1.0,no
2026-04-15,18,Quebec,Computers,68,14,0,no
2026-04-16,8,Quebec,Silent,35,6,,no
2026-04-16,12,Levis,Collaboration,49,7,3.0,no
2026-04-17,17,Quebec,Computers,71,15,0,no
