region,age,confirmed_cases,date
Quebec,78,111,2022-08-03
Quebec,66,92,2022-03-20
Outaouais,68,74,2022-01-30
Montreal,94,144,2022-12-05
Quebec,85,133,2022-05-02
Quebec,75,93,2022-07-21
Montreal,81,84,2022-07-24
Outaouais,82,109,2022-11-22
Quebec,87,103,2022-07-07
Montreal,93,96,2022-12-08
Montreal,80,125,2022-04-09
Quebec,94,125,2022-04-07
Quebec,62,64,2022-02-18
Outaouais,67,146,2022-08-30
Outaouais,78,111,2022-06-24
Outaouais,63,96,2022-10-30
Outaouais,79,132,2022-09-17
Montreal,78,114,2022-07-07
Outaouais,66,86,2022-05-22
Montreal,91,97,2022-06-23
Montreal,76,138,2022-05-25
Quebec,84,145,2022-02-11
Montreal,94,143,2022-07-02
Montreal,61,134,2022-12-13
Outaouais,89,83,2022-03-15
Quebec,69,135,2022-09-30
Montreal,81,115,2022-05-22
Montreal,94,64,2022-08-02
Montreal,84,111,2022-04-28
Outaouais,75,97,2022-09-28
Montreal,68,138,2022-02-08
Montreal,79,82,2022-11-05
Montreal,71,119,2022-12-23
Quebec,76,72,2022-09-09
Quebec,62,87,2022-06-04
Montreal,81,61,2022-11-05
Outaouais,77,95,2022-06-15
Quebec,89,79,2022-03-02
Outaouais,78,61,2022-02-23
Outaouais,77,76,2022-11-04
Quebec,82,127,2022-11-24
Quebec,90,145,2022-08-28
Montreal,65,69,2022-06-28
Montreal,66,147,2022-09-29
Quebec,67,142,2022-03-17
Quebec,63,136,2022-03-28
Montreal,74,105,2022-08-12
Outaouais,76,100,2022-12-01
Quebec,83,136,2022-06-13
Montreal,94,86,2022-01-13
