municipality_code,municipality,municipality_type,region,residential_consumption_l_person_day,population_served,population_served_thousands,residences_served,persons_per_residence,distributed_water_l_person_day
88055,Amos,City,Abitibi-Témiscamingue,243,11771,11.771,5740,2.05063495,414
88022,Barraute,Municipality,Abitibi-Témiscamingue,184,1414,1.414,594,2.38,307
85020,Béarn,Municipality,Abitibi-Témiscamingue,192,689,0.689,325,2.12,580
87085,Dupuy,Municipality,Abitibi-Témiscamingue,158,618,0.618,266,2.3236715,301
87090,La Sarre,City,Abitibi-Témiscamingue,216,7130,7.13,3565,2,396
88035,Landrienne,Township,Abitibi-Témiscamingue,154,543,0.543,269,2.01986755,208
85052,Laverlochère-Angliers,Municipality,Abitibi-Témiscamingue,172,504,0.504,229,2.2,1047
85037,Lorrainville,Municipality,Abitibi-Témiscamingue,253,1095,1.095,537,2.03833866,308
87058,Macamic,City,Abitibi-Témiscamingue,398,1510,1.51,592,2.55,574
89015,Malartic,City,Abitibi-Témiscamingue,336,3435,3.435,1321,2.6,412
85090,Notre-Dame-Du-Nord,Municipality,Abitibi-Témiscamingue,210,919,0.919,509,1.80555556,379
86042,Rouyn-Noranda,City,Abitibi-Témiscamingue,157,32079,32.079,16430,1.9524535,384
85045,Saint-Bruno-De-Guigues,Municipality,Abitibi-Témiscamingue,247,555,0.555,282,1.96910569,477
89040,Senneterre (V),City,Abitibi-Témiscamingue,672,2698,2.698,1420,1.9,1413
85005,Témiscaming,City,Abitibi-Témiscamingue,455,1613,1.613,1098,1.46896552,931
89008,Val-D'or,City,Abitibi-Témiscamingue,163,27727,27.727,12731,2.17791272,424
85025,Ville-Marie,City,Abitibi-Témiscamingue,146,2409,2.409,1391,1.73184759,357
07047,Amqui,City,Bas-Saint-Laurent,304,5664,5.664,2506,2.26,557
12057,Cacouna,Municipality,Bas-Saint-Laurent,154,1674,1.674,761,2.2,217
13005,Dégelis,City,Bas-Saint-Laurent,364,2442,2.442,1174,2.08,448
