Code_Cs,Nom_Cs,Code_Org,Nom_Org,IMSE,Rang_Decile_IMSE,SFR,Rang_Decile_SFR,Nbre_Eleves,Diffusion,Annee_Scol
711000,Centre de services scolaire des Monts-et-Marées (711000),711002,École Lac-au-Saumon (711002),10.4187626666667,9,1.33371857142857,2,105,OUI,2025-2026
711000,Centre de services scolaire des Monts-et-Marées (711000),711007,École Saint-Vianney - Saint-Tharcisius (711007),,,,,,NON,2025-2026
711000,Centre de services scolaire des Monts-et-Marées (711000),711009,École Victor-Côté (711009),9.40604229166666,8,5.99614993055555,7,144,OUI,2025-2026
711000,Centre de services scolaire des Monts-et-Marées (711000),711012,École Caron (711012),7.21351318471338,6,3.31418095541401,5,157,OUI,2025-2026
711000,Centre de services scolaire des Monts-et-Marées (711000),711014,École Saint-Léon-le-Grand (711014),11.7021143421053,9,0.0722569736842105,1,76,OUI,2025-2026
711000,Centre de services scolaire des Monts-et-Marées (711000),711019,École Bon-Pasteur (711019),8.00059278787878,7,5.09664012121212,7,165,OUI,2025-2026
711000,Centre de services scolaire des Monts-et-Marées (711000),711027,École Saint-Victor (711027),8.41834897727272,7,0.998785568181818,1,88,OUI,2025-2026
711000,Centre de services scolaire des Monts-et-Marées (711000),711037,École Zénon-Soucy (711037),11.0977982142857,9,4.38238739285714,6,280,OUI,2025-2026
711000,Centre de services scolaire des Monts-et-Marées (711000),711038,École Val-Brillant (711038),5.45670921052631,4,5.14305903508773,7,114,OUI,2025-2026
711000,Centre de services scolaire des Monts-et-Marées (711000),711040,École Sainte-Ursule (711040),7.86417571999999,7,2.28561436,3,250,OUI,2025-2026
711000,Centre de services scolaire des Monts-et-Marées (711000),711101,École Entre-Vents-et-Marées (711101),4.29651963636363,3,0.245902,1,110,OUI,2025-2026
711000,Centre de services scolaire des Monts-et-Marées (711000),711102,École des Grands-Horizons (711102),13.2600758461539,10,0.748606153846154,1,130,OUI,2025-2026
711000,Centre de services scolaire des Monts-et-Marées (711000),711103,École de Sayabec (711103),7.74654680000001,7,1.0000003,1,100,OUI,2025-2026
711000,Centre de services scolaire des Monts-et-Marées (711000),711104,École des Trois-Boisés (711104),11.5464479220779,9,4.39560571428572,6,77,OUI,2025-2026
711000,Centre de services scolaire des Monts-et-Marées (711000),711105,École des Érables (711105),8.969135125,8,2.01726,3,80,OUI,2025-2026
711000,Centre de services scolaire des Monts-et-Marées (711000),711106,École Forimont (711106),12.4723549295775,9,3.00612563380281,4,142,OUI,2025-2026
712000,Centre de services scolaire des Phares (712000),712001,École de l'Écho-des-Montagnes-Lavoie (712001),9.31401877862597,8,1.40710343511451,2,131,OUI,2025-2026
712000,Centre de services scolaire des Phares (712000),712002,École de l'Estran (712002),3.58593599264705,2,2.02837415441177,3,272,OUI,2025-2026
712000,Centre de services scolaire des Phares (712000),712004,École Élisabeth-Turgeon (712004),6.14370799007444,5,2.35071429280397,3,403,OUI,2025-2026
712000,Centre de services scolaire des Phares (712000),712005,École du Mistral (712005),,,,,,NON,2025-2026
712000,Centre de services scolaire des Phares (712000),712006,École de Sainte-Luce-des Bois-et-Marées (712006),5.50884491228068,4,0.879470000000001,1,171,OUI,2025-2026
712000,Centre de services scolaire des Phares (712000),712007,École du Grand-Pavois (712007),14.1645144290658,10,2.84051678200693,4,289,OUI,2025-2026
712000,Centre de services scolaire des Phares (712000),712009,École de l'Aquarelle (712009),9.00438103542232,8,3.04303722070844,4,367,OUI,2025-2026
712000,Centre de services scolaire des Phares (712000),712011,École de la Colombe (712011),,,,,,NON,2025-2026
712000,Centre de services scolaire des Phares (712000),712014,École des Sources-Lévesque (712014),6.49626149253729,5,0.89883850746269,1,268,OUI,2025-2026
712000,Centre de services scolaire des Phares (712000),712015,École de Mont-Saint-Louis-Saint-Rosaire (712015),7.0543886938776,6,0.89479346938776,1,245,OUI,2025-2026
712000,Centre de services scolaire des Phares (712000),712016,École du Boisé-des-Prés (712016),2.39501394179894,1,1.32916187830688,2,378,OUI,2025-2026
712000,Centre de services scolaire des Phares (712000),712019,École de la Rose-des-Vents (712019),5.14849736,4,0.6982484,1,250,OUI,2025-2026
712000,Centre de services scolaire des Phares (712000),712020,École des Merisiers (712020),4.05186787037037,3,0.108232361111111,1,216,OUI,2025-2026
712000,Centre de services scolaire des Phares (712000),712021,École des Beaux-Séjours (712021),4.32134706624606,3,0.614535804416403,1,317,OUI,2025-2026
