ville,region,mois,visites,prets,ateliers,heures_ouverture,note
Quebec,Capitale-Nationale,janvier,1240,3180,8,176,4.2
Quebec,Capitale-Nationale,fevrier,1315,3350,10,168,4.4
Levis,Chaudiere-Appalaches,janvier,820,2040,6,150,4.1
Levis,Chaudiere-Appalaches,fevrier,875,2190,7,148,4.0
Trois-Rivieres,Mauricie,janvier,690,1780,5,142,3.9
Trois-Rivieres,Mauricie,fevrier,NA,1825,6,140,4.0
Sherbrooke,Estrie,janvier,980,2460,9,160,4.3
Sherbrooke,Estrie,fevrier,1045,2605,11,158,4.5
Saguenay,Saguenay-Lac-Saint-Jean,janvier,610,1510,4,132,3.8
Saguenay,Saguenay-Lac-Saint-Jean,fevrier,655,1600,5,130,NA
Gatineau,Outaouais,janvier,1175,2980,9,170,4.1
Gatineau,Outaouais,fevrier,1220,3065,12,168,4.3
