dossier_id,programme,cycle,statut,revenu_annuel,montant_demande,moyenne,fsa_code
B-001,Statistique,1er cycle,complete,18500,"2 500,00",3.7,G1V
B-002,Science des donnees,2e cycle,Complete,24000,"3 000,00",3.9,G1K
B-003,sc. donnees,2e cycle,incomplete,31000,"1 800,00",3.4,H2X
B-004,Mathematiques,1er cycle,complete,-999,"2 200,00",3.2,G1V
B-005,Statistique,1er cycle,en attente,42000,"0,00",2.8,J8X
B-006,Mathematiques,3e cycle,Complete,28000,"4 500,00",4.1,H3A
B-007,Science des données,2e cycle,complete,26000,"3 200,00",3.6,G1V
B-008,Informatique,1er cycle,incomplete,39000,"1 500,00",NA,G1K
B-009,Informatique,1er cycle,complete,21500,"2 750,00",3.3,J8X
B-010,Statistique,2e cycle,complete,999999,"3 800,00",3.8,G1V1234
B-011,Science des donnees,2e cycle,en attente,30500,"2 100,00",3.5,H2X
B-012,Mathematiques,1er cycle,complete,18750,"2 900,00",3.1,G1V
B-013,Statistique,1er cycle,refusee,52000,"0,00",2.6,G1K
B-014,Informatique,3e cycle,complete,24500,"4 000,00",3.9,H3A
B-015,Science des données,2e cycle,complete,27000,"3 100,00",3.7,G1V
B-016,Mathématiques,1er cycle,incomplete,33000,"1 700,00",3.0,J8X
