TYPE,DETAIL,NOM,SURFACE,ECLAIRAGE,OBJECTID,x,y
Tennis,Nombre de court(s) : 2,NA,Synthétique,Oui,1,-8001483.0332582,5688767.14796452
Tennis,Nombre de court(s) : 3,NA,Terre battue,Oui,2,-8005900.33764443,5683864.73680546
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Couturier 1,Gazon naturel,Non,3,-8001487.32235769,5688958.08101954
Soccer,Terrain à 7,André-Viger 1,Gazon naturel,Non,4,-8009363.35006874,5686466.11453303
Baseball,NA,NA,Naturelle,Oui,5,-7998385.35557287,5685751.50883754
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Saint-Alphonse 1,Gazon naturel,Non,6,-8005623.61333228,5687188.39580047
Baseball,NA,NA,Gazon naturel,Non,7,-7999768.08684894,5688619.80073746
Tennis,Nombre de court(s) : 2,NA,Synthétique,Oui,8,-7999892.52768798,5688709.00366602
Soccer,Terrain à 9 avec 2 terrains à 7 intégrés,Atto-Beaver 2,Gazon naturel,Oui,9,-7998734.5482528,5680867.97181305
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Central 1,Gazon naturel,Non,10,-8014855.05839903,5677757.9843797
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Nault 1,Gazon naturel,Oui,11,-8008396.79324497,5695646.75793579
Soccer,Terrain à 11 avec 3 terrains à 7 intégrés,Central 3,Gazon naturel,Oui,12,-8015297.44865729,5677558.82833359
Baseball,NA,NA,Gazon naturel,Non,13,-8003965.90796435,5685674.60558343
Baseball,NA,NA,Gazon naturel,Non,14,-8003962.43519893,5685793.20407652
Football,NA,NA,Gazon synthétique,Oui,15,-8001840.33701077,5686577.69930273
Basketball,NA,NA,Asphalte,Non,16,-8000776.40867562,5685710.39829984
Tennis,Nombre de court(s) : 2,NA,Terre battue,Oui,17,-8000783.59870053,5685666.9215703
Football,NA,NA,Gazon naturel,Non,18,-8003964.89854192,5685733.51454451
Baseball,NA,NA,Naturelle,Oui,19,-7998723.85273403,5689490.90924795
Baseball,NA,NA,Naturelle,Oui,20,-7998900.53342908,5689504.14725122
Soccer,NA,École de la Montée - pavillon le Ber,Gazon naturel,NA,21,-8000081.97849007,5686149.44360801
Soccer,Terrain à 9,Debonair 2,Gazon naturel,Non,22,-8003052.98633751,5689603.76603451
Baseball,NA,NA,Gazon naturel,Oui,23,-8001101.46332725,5686714.30098325
Basketball,NA,NA,Terre battue,Non,24,-8012093.72419617,5682388.99534454
Soccer,NA,Atto-Beaver 3,Gazon naturel,Non,25,-7998679.73756038,5680971.66919429
Volleyball,NA,NA,Sable,Non,26,-8014020.33764415,5674149.30579849
Volleyball,NA,NA,Sable,Oui,27,-8013098.57026644,5681615.59311
Volleyball,NA,NA,Terre battue,NA,28,-7998276.79839232,5685852.79743525
Volleyball,NA,NA,Sable,NA,29,-7998258.44601213,5685843.11197551
Volleyball,NA,NA,Sable,NA,30,-8005598.27117391,5687041.01414362
Volleyball,NA,NA,Sable,Non,31,-7998858.93286473,5681070.91906262
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Butte-aux-Bouleaux 1,Gazon naturel,Non,32,-8021070.45496413,5680170.23015051
Volleyball,NA,NA,Sable,Non,33,-7998854.95906795,5681005.24235047
Volleyball,NA,NA,Sable,Non,34,-7998905.25890115,5681040.9542755
Volleyball,NA,NA,Sable,NA,35,-8017642.95050952,5674434.96762121
Soccer,Terrain à 11,Séminaire Salésien,Gazon naturel,Non,36,-8009622.44740998,5684512.55451636
Soccer,Terrain à 11,Bureau 1,Gazon naturel,Oui,37,-8000656.4927084,5683657.43784711
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Olympique 3,Gazon naturel,Oui,38,-8002251.74318213,5686966.3312363
Baseball,NA,NA,Gazon naturel,Oui,39,-8002354.9863397,5686822.16096338
Soccer,6 terrains à 5,Base de plein air André-Nadeau 1,Gazon naturel,Non,40,-8014045.08357028,5673990.84871793
Soccer,Terrain à 7,Saint-Alphonse 2B,Gazon naturel,Oui,41,-8005405.37642563,5687092.20768263
Tennis,Nombre de court(s) : 2,NA,Asphalte,Oui,42,-8013251.35533017,5681711.77960045
Basketball,NA,NA,Asphalte,Oui,43,-8013092.49674928,5681563.67038482
Baseball,NA,NA,Naturelle,Oui,44,-8019677.24844662,5683711.17711012
Baseball,NA,NA,Gazon naturel,Non,45,-8013207.72572154,5681579.60476568
Baseball,NA,NA,Gazon naturel,Non,46,-8010652.35809257,5696387.96277917
Basketball,NA,NA,Terre battue,Oui,47,-8004336.15697736,5682896.54221269
Tennis,Nombre de court(s) : 2,NA,Terre battue,Oui,48,-8004443.20859573,5682727.15733726
Basketball,NA,NA,Terre battue,Non,49,-8003346.00144484,5683001.20635284
Basketball,NA,NA,Asphalte,NA,50,-8007892.88974655,5684645.43300313
Tennis,Nombre de court(s) : 2,NA,Terre battue,Oui,51,-8019306.14835925,5676005.17728906
Tennis,Nombre de court(s) : 3,NA,Synthétique,Oui,52,-8002837.72193629,5680612.25184594
Tennis,Nombre de court(s) : 3,NA,Asphalte,Oui,53,-8010265.01951732,5686694.09658737
Volleyball,NA,NA,Sable,Oui,54,-8009330.30711744,5696649.11839964
Tennis,Nombre de court(s) : 3,NA,Synthétique,Oui,55,-8005401.34205856,5687189.61421491
Basketball,NA,NA,NA,Oui,56,-8003176.10404748,5683930.66686257
Basketball,NA,NA,NA,Oui,57,-8003212.6165719,5683934.47681119
Basketball,NA,NA,Terre battue,Oui,58,-8002545.290069,5682373.75314155
Tennis,Nombre de court(s) : 3,NA,Terre battue,Oui,59,-8007357.30845108,5682832.66917088
Basketball,NA,NA,NA,NA,60,-8002869.80496919,5680677.57704738
Tennis,Nombre de court(s) :,NA,Asphalte,NA,61,-8002876.80523126,5680655.87035724
Basketball,NA,NA,Terre battue,Oui,62,-8019477.69434336,5676014.63694923
Volleyball,NA,NA,Sable,Oui,63,-8014876.64993164,5677480.81546764
Basketball,NA,NA,Terre battue,Oui,64,-8012176.93408079,5682422.04603422
Ultimate frisbee,NA,NA,Gazon naturel,Oui,65,-8012051.92654831,5680568.99695149
Tennis,Nombre de court(s) : 1,NA,Terre battue,Oui,66,-8012146.31045469,5680590.46128126
Basketball,NA,NA,Terre battue,Oui,67,-8013061.35983639,5683395.6055334
Basketball,NA,NA,Asphalte,NA,68,-8017538.32497578,5670588.90202844
Tennis,Nombre de court(s) : 1,NA,Terre battue,Oui,69,-8017500.7765319,5670580.62202008
Baseball,NA,NA,Gazon naturel,Non,70,-7999771.14103679,5680594.99826466
Basketball,NA,NA,Asphalte,Non,71,-8014953.82480348,5677772.10353102
Tennis,Nombre de court(s) : 2,NA,Synthétique,Oui,72,-7999358.45917928,5679846.33776165
Pickleball,NA,NA,Asphalte,Oui,73,-8015001.95280809,5677654.78620498
Basketball,NA,NA,Asphalte,Oui,74,-8015790.96464289,5684562.74249083
Basketball,NA,NA,Asphalte,Oui,75,-8002829.20822376,5680666.66620402
Tennis,Nombre de court(s) : 2,NA,Terre battue,Oui,76,-8015907.68177443,5684612.99675
Baseball,NA,NA,Gazon naturel,Oui,77,-8002720.14326566,5680648.52096013
Soccer,Terrain à 11,Belvédère 1,Gazon naturel,Oui,78,-8002909.21879464,5680506.34766764
Tennis,Nombre de court(s) : 2,NA,Terre battue,Oui,79,-8003216.2667302,5689609.55098276
Baseball,NA,NA,Naturelle,Non,80,-8002619.8905128,5686832.08659291
Soccer,NA,Jardins-Fleuris 1,Gazon naturel,Non,81,-7999641.85319832,5687203.99026913
Basketball,NA,NA,NA,Oui,82,-8010281.63699716,5686770.74373582
Basketball,NA,NA,NA,NA,83,-8006632.90416746,5685127.17885903
Football,NA,NA,NA,NA,84,-8007684.79064325,5680749.48749301
Soccer,Terrain à 7,Marie-Reine 1,Gazon naturel,Non,85,-8000250.60534911,5682985.53233082
Football,NA,NA,NA,NA,86,-8006582.82916913,5684929.26687201
Baseball,NA,NA,Naturelle,Oui,87,-8000485.61207302,5683801.98572004
Soccer,NA,Bishop's College School Gillards,NA,NA,88,-7997148.66829183,5680269.71411314
Basketball,NA,NA,Asphalte,Oui,89,-8008449.09694454,5695730.9182931
Baseball,NA,NA,Gazon naturel,Oui,90,-8014953.19484211,5677522.02534063
Soccer,NA,Université de Sherbrooke Stade d'athlétisme,NA,NA,91,-8007288.96854312,5680703.27115649
Football,NA,NA,NA,NA,92,-8007230.469547,5680701.97675752
Soccer,NA,Université de Sherbrooke Nouveau Concorde,NA,NA,93,-8007834.95530316,5681097.72945834
Soccer,NA,Université de Sherbrooke synthétique,NA,NA,94,-8007685.70604158,5680808.28576318
Soccer,NA,Bishop's College School Grant,NA,NA,95,-7997994.733967,5679998.99915338
Soccer,NA,École du Phare,NA,NA,96,-8002420.74892138,5681435.82407286
Tennis,Nombre de court(s) : 8,NA,Synthétique,Oui,97,-8014036.0233236,5679749.94685058
Football,NA,NA,NA,NA,98,-8009353.06502025,5681374.75009206
Football,NA,NA,NA,NA,99,-7997315.78117302,5679151.6709256
Soccer,Terrain à 7,André-Viger 2,Gazon naturel,Non,100,-8009377.71182098,5686401.88624711
Soccer,Terrain à 11,Arsène-Goyette 1,Gazon naturel,Non,101,-8002519.26597101,5682223.52165104
Soccer,Terrain à 9,Atto-Beaver 1,Gazon naturel,Non,102,-7998617.68819426,5680834.99841974
Soccer,NA,École Le Triolet synthétique,NA,NA,103,-8009399.17770122,5681403.62720196
Soccer,Terrain à 11 avec 4 terrains à 7 intégrés,Central 2 Synthétique,Gazon synthétique,Oui,104,-8015230.22814091,5677702.74655349
