organisation_id,organisation_nom,organisation_slug,nb_jeux_catalogue,etat
02ac2745-f6ac-432b-aebd-27037cbaa0fb,AdMare,admare,1,active
b0631ca4-c8f2-451c-a745-d35a6a66b2b2,Agence de mobilité durable,agence-de-mobilite-durable,0,active
e6ecd29a-c198-48be-bfe1-5ea50ac6ce14,Assemblée nationale du Québec,assemblee-nationale-du-quebec,5,active
5f1f16de-5dea-4fdc-bdca-79596356c429,Association des galeries d’art contemporain,l-association-des-galeries-d-art-contemporain,5,active
8d4ad35d-9d0b-4a4e-be1f-0cbb344e7d0d,Autorité des marchés financiers,autorite-des-marches-financiers,1,active
737e8d6f-a3bd-4f40-89ff-ec0d96d00753,Autorité des marchés publics,amp,1,active
679381f6-949c-418c-8f2a-d699a5c7b4f8,Autorité régionale de transport métropolitain (ARTM),artm,2,active
193c8a13-04c9-46d6-8543-0178a62d5986,Bibliothèque et Archives nationales du Québec,banq,6,active
15f2f4fc-9d79-433b-b690-28592221edb4,Bixi Montréal,bixi,2,active
67781501-13ef-4bbb-bd04-a4af85df7f39,Bureau du taxi de Montréal,bureau-du-taxi-de-montreal,0,active
873be2de-ef4c-4cd4-a6a6-24f55237eab5,Canards Illimités Canada,canards-illimites-canada,1,active
9054c664-b0b4-49a1-bc52-dc7fe5947f53,Cefrio,cefrio,2,active
8a550735-823e-444d-aecf-6d172aad9a02,Centre culturel Kabir,centre-culturel-kabir,0,active
8284d83e-1b0f-4bd6-8771-6d05262622cc,Cinémathèque québécoise,cinematheque-quebecoise,6,active
c89f0dce-1be4-404c-ab2c-2cb026d59d2d,Circuit électrique,le-circuit-electrique,1,active
d6c64296-b68e-47a2-96e6-361e413a6701,Commission de protection du territoire agricole,cptaq,3,active
5d511b3d-dad9-4f1a-a56f-3821fc8686bd,Commission de toponymie,commission-de-toponymie,6,active
dd49a91c-b2de-4571-b9b6-adacc8de92b4,"Commission des normes, de l’équité, de la santé et de la sécurité du travail",cnesst,7,active
bf3d43ea-c9cc-4694-bb7b-e149b6c4feae,Communauté métropolitaine de Québec,cm-quebec,11,active
182b2631-4402-4fbf-b456-7873a14cbac7,Conseil québécois du patrimoine vivant,cqpv,0,active
3a00a7bf-dfe1-458c-91c5-507bf5531077,Conservation de la nature Canada,conservation-de-la-nature-canada,0,active
4ea406f7-d34d-4b9e-8ea6-2074924106b7,Coopérative de solidarité Fab Labs Québec ,cooperative-de-solidarite-fab-labs-quebec,1,active
faa3bad5-e374-4882-a0d6-03d3cc6fbe6a,Curateur public du Québec,curateur,5,active
b0ef2124-3bd7-48f2-b0b7-7b8d5d21a280,Destination Sherbrooke,destination-sherbrooke,0,active
2f996af8-c40c-4376-8128-132c83ee38bd,Eco-Compteur,eco-compteur,2,active
33cfe5a2-50c9-4021-9a5a-b8ab430cdd3f,Entreprendre Sherbrooke,commerce-sherbrooke,1,active
f941c246-7ee2-4db5-a014-e40dd9a676b6,Exo,exo,13,active
19a655fb-07f7-41a1-9354-a5b1f83df8df,Financière agricole du Québec,fadq,9,active
accac8a2-6ec0-4b0c-8ca0-3139ba548d8b,Fondation Lionel-Groulx,fondation-lionel-groulx,1,active
8cd8e8f8-3386-4c2d-8fad-ba053eb22842,Fonds de recherche du Québec,fonds-de-recherche-du-quebec,0,active
f10bd624-b767-4352-98cc-25a23a43fa36,Fonds de recherche du Québec – Nature et technologies,frqnt,1,active
602ead8b-80f6-4cd4-9d0a-df7db8427273,Fonds de recherche du Québec – Santé,frqs,1,active
e7ccfad1-5fc8-4fa2-898e-23631c8edb04,Fonds de recherche du Québec – Société et culture,frqsc,1,active
50acef34-a147-4de8-8217-8277ace616d6,Gouvernement du Québec,gouvernement-du-quebec,0,active
1253a434-4c78-4bef-a845-12db8250637f,GénieLab,genielab,0,active
1cf8468a-f387-48f2-ad71-63638b0516b2,GéoMont,geomont,7,active
28b9603d-d36c-4c54-97d1-2aa6416db54d,Hydro-Québec,hydro-quebec,10,active
0fd1cbe2-46bc-4677-9690-35f5127220e4,Institut de la statistique du Québec,isq,7,active
9547024f-184e-46e0-8806-0b1c330ce39f,Institut national de santé publique du Québec (INSPQ),inspq,12,active
eb10e5c0-f2d7-4cb9-ace6-e922c7cb2928,Le Musée des beaux-arts de Montréal,le-musee-des-beaux-arts-de-montreal,1,active
8c6cf721-3257-4885-b691-9fe5f4561ae6,Le Réseau de transport de la Capitale,rtc,1,active
