annee,mois,type_incident,nb_incidents
2022,1,Accident avec blessés,28
2022,1,Conduite avec capacités affaiblies,6
2022,1,Introduction par effraction,18
2022,1,Menace ou acte de violence,30
2022,1,Méfait,17
2022,1,Voie de fait,43
2022,1,Vol,76
2022,2,Accident avec blessés,18
2022,2,Conduite avec capacités affaiblies,8
2022,2,Introduction par effraction,16
2022,2,Menace ou acte de violence,35
2022,2,Méfait,17
2022,2,Voie de fait,38
2022,2,Vol,84
2022,3,Accident avec blessés,20
2022,3,Conduite avec capacités affaiblies,22
2022,3,Introduction par effraction,25
2022,3,Menace ou acte de violence,34
2022,3,Méfait,37
2022,3,Voie de fait,59
2022,3,Vol,109
2022,4,Accident avec blessés,15
2022,4,Conduite avec capacités affaiblies,17
2022,4,Introduction par effraction,22
2022,4,Menace ou acte de violence,41
2022,4,Méfait,53
2022,4,Voie de fait,44
2022,4,Vol,115
2022,5,Accident avec blessés,38
2022,5,Conduite avec capacités affaiblies,16
2022,5,Introduction par effraction,29
2022,5,Menace ou acte de violence,41
2022,5,Méfait,49
2022,5,Voie de fait,48
2022,5,Vol,109
2022,6,Accident avec blessés,36
2022,6,Conduite avec capacités affaiblies,12
2022,6,Introduction par effraction,33
2022,6,Menace ou acte de violence,36
2022,6,Méfait,48
2022,6,Voie de fait,55
2022,6,Vol,141
2022,7,Accident avec blessés,27
2022,7,Accident mortel,1
2022,7,Conduite avec capacités affaiblies,11
2022,7,Introduction par effraction,37
2022,7,Menace ou acte de violence,39
2022,7,Méfait,40
2022,7,Voie de fait,52
2022,7,Vol,149
2022,8,Accident avec blessés,30
2022,8,Accident mortel,1
2022,8,Conduite avec capacités affaiblies,14
2022,8,Introduction par effraction,47
2022,8,Menace ou acte de violence,48
2022,8,Méfait,44
2022,8,Voie de fait,56
2022,8,Vol,140
2022,9,Accident avec blessés,40
2022,9,Conduite avec capacités affaiblies,9
2022,9,Introduction par effraction,41
2022,9,Menace ou acte de violence,44
2022,9,Méfait,32
2022,9,Voie de fait,47
2022,9,Vol,123
2022,10,Accident avec blessés,34
2022,10,Conduite avec capacités affaiblies,14
2022,10,Introduction par effraction,43
2022,10,Menace ou acte de violence,42
2022,10,Méfait,49
2022,10,Voie de fait,48
2022,10,Vol,106
2022,11,Accident avec blessés,33
2022,11,Accident mortel,1
2022,11,Conduite avec capacités affaiblies,10
2022,11,Introduction par effraction,35
2022,11,Menace ou acte de violence,23
2022,11,Méfait,35
2022,11,Voie de fait,47
2022,11,Vol,124
2022,12,Accident avec blessés,45
2022,12,Accident mortel,1
2022,12,Conduite avec capacités affaiblies,17
2022,12,Introduction par effraction,35
2022,12,Menace ou acte de violence,28
2022,12,Méfait,24
2022,12,Voie de fait,39
2022,12,Vol,107
2023,1,Accident avec blessés,27
2023,1,Conduite avec capacités affaiblies,10
2023,1,Introduction par effraction,22
2023,1,Menace ou acte de violence,39
2023,1,Méfait,27
2023,1,Voie de fait,53
2023,1,Vol,118
2023,2,Accident avec blessés,38
2023,2,Conduite avec capacités affaiblies,11
2023,2,Introduction par effraction,20
2023,2,Menace ou acte de violence,35
2023,2,Méfait,25
2023,2,Voie de fait,39
2023,2,Vol,99
2023,3,Accident avec blessés,33
2023,3,Conduite avec capacités affaiblies,14
2023,3,Introduction par effraction,35
2023,3,Menace ou acte de violence,38
2023,3,Méfait,27
2023,3,Voie de fait,62
2023,3,Vol,138
2023,4,Accident avec blessés,27
2023,4,Conduite avec capacités affaiblies,19
2023,4,Introduction par effraction,23
2023,4,Menace ou acte de violence,40
2023,4,Méfait,39
2023,4,Voie de fait,46
2023,4,Vol,112
2023,5,Accident avec blessés,45
2023,5,Conduite avec capacités affaiblies,14
2023,5,Introduction par effraction,29
2023,5,Menace ou acte de violence,45
2023,5,Méfait,32
2023,5,Voie de fait,52
2023,5,Vol,119
2023,6,Accident avec blessés,25
2023,6,Conduite avec capacités affaiblies,19
2023,6,Introduction par effraction,42
2023,6,Menace ou acte de violence,54
2023,6,Méfait,24
2023,6,Voie de fait,64
2023,6,Vol,120
2023,7,Accident avec blessés,17
2023,7,Conduite avec capacités affaiblies,10
2023,7,Introduction par effraction,28
2023,7,Menace ou acte de violence,50
2023,7,Méfait,28
2023,7,Voie de fait,67
2023,7,Vol,107
2023,8,Accident avec blessés,19
2023,8,Accident mortel,1
2023,8,Conduite avec capacités affaiblies,10
2023,8,Introduction par effraction,26
2023,8,Menace ou acte de violence,36
2023,8,Méfait,32
2023,8,Voie de fait,47
2023,8,Vol,136
2023,9,Accident avec blessés,30
2023,9,Conduite avec capacités affaiblies,12
2023,9,Introduction par effraction,31
2023,9,Menace ou acte de violence,47
2023,9,Méfait,23
2023,9,Voie de fait,43
2023,9,Vol,113
2023,10,Accident avec blessés,31
2023,10,Conduite avec capacités affaiblies,21
2023,10,Introduction par effraction,24
2023,10,Menace ou acte de violence,35
2023,10,Méfait,64
2023,10,Voie de fait,55
2023,10,Vol,133
2023,11,Accident avec blessés,33
2023,11,Conduite avec capacités affaiblies,18
2023,11,Introduction par effraction,23
2023,11,Menace ou acte de violence,32
2023,11,Méfait,36
2023,11,Voie de fait,58
2023,11,Vol,120
2023,12,Accident avec blessés,22
2023,12,Conduite avec capacités affaiblies,16
2023,12,Introduction par effraction,21
2023,12,Menace ou acte de violence,35
2023,12,Méfait,35
2023,12,Voie de fait,45
2023,12,Vol,120
2024,1,Accident avec blessés,27
2024,1,Conduite avec capacités affaiblies,20
2024,1,Introduction par effraction,29
2024,1,Menace ou acte de violence,35
2024,1,Méfait,17
2024,1,Voie de fait,54
2024,1,Vol,129
2024,2,Accident avec blessés,11
2024,2,Conduite avec capacités affaiblies,12
2024,2,Introduction par effraction,15
2024,2,Menace ou acte de violence,42
2024,2,Méfait,53
2024,2,Voie de fait,66
2024,2,Vol,101
2024,3,Accident avec blessés,29
2024,3,Conduite avec capacités affaiblies,17
2024,3,Introduction par effraction,19
2024,3,Menace ou acte de violence,33
2024,3,Méfait,52
2024,3,Voie de fait,54
2024,3,Vol,85
2024,4,Accident avec blessés,32
2024,4,Conduite avec capacités affaiblies,9
2024,4,Introduction par effraction,26
2024,4,Menace ou acte de violence,50
2024,4,Méfait,28
2024,4,Voie de fait,49
2024,4,Vol,110
2024,5,Accident avec blessés,40
2024,5,Conduite avec capacités affaiblies,11
2024,5,Introduction par effraction,28
2024,5,Menace ou acte de violence,43
2024,5,Méfait,41
2024,5,Voie de fait,73
2024,5,Vol,106
2024,6,Accident avec blessés,35
2024,6,Conduite avec capacités affaiblies,13
2024,6,Introduction par effraction,13
2024,6,Menace ou acte de violence,59
2024,6,Méfait,35
2024,6,Voie de fait,87
2024,6,Vol,117
2024,7,Accident avec blessés,31
2024,7,Accident mortel,1
2024,7,Conduite avec capacités affaiblies,18
2024,7,Introduction par effraction,25
2024,7,Menace ou acte de violence,27
2024,7,Méfait,29
2024,7,Voie de fait,65
2024,7,Vol,143
2024,8,Accident avec blessés,31
2024,8,Conduite avec capacités affaiblies,20
2024,8,Introduction par effraction,23
2024,8,Menace ou acte de violence,42
2024,8,Méfait,23
2024,8,Voie de fait,60
2024,8,Vol,107
2024,9,Accident avec blessés,37
2024,9,Conduite avec capacités affaiblies,22
2024,9,Introduction par effraction,41
2024,9,Menace ou acte de violence,51
2024,9,Méfait,33
2024,9,Voie de fait,75
2024,9,Vol,115
2024,10,Accident avec blessés,41
2024,10,Conduite avec capacités affaiblies,21
2024,10,Introduction par effraction,30
2024,10,Menace ou acte de violence,39
2024,10,Méfait,31
2024,10,Voie de fait,64
2024,10,Vol,129
2024,11,Accident avec blessés,30
2024,11,Conduite avec capacités affaiblies,20
2024,11,Introduction par effraction,28
2024,11,Menace ou acte de violence,41
2024,11,Méfait,27
2024,11,Voie de fait,71
2024,11,Vol,109
2024,12,Accident avec blessés,31
2024,12,Conduite avec capacités affaiblies,17
2024,12,Introduction par effraction,14
2024,12,Menace ou acte de violence,32
2024,12,Méfait,16
2024,12,Voie de fait,76
2024,12,Vol,90
