bibliotheque,region,population_desservie,prets,activites,visites
Acton Vale,16: Montérégie,7823,29919,38,15579
Alma,02: Saguenay-Lac-Saint-Jean,30649,153411,450,55024
Amos,08: Abitibi-Témiscamingue,12757,62520,241,43747
Amqui,01: Bas-Saint-Laurent,6129,32871,,
Baie-Comeau,09: Côte-Nord,20684,117044,237,89486
Baie-D'Urfé,06: Montréal,3710,11666,38,18025
Baie-Saint-Paul,03: Capitale-Nationale,7600,36748,7,21495
Beaconsfield,06: Montréal,19290,191843,275,491490
Beauceville,12: Chaudière-Appalaches,6285,25662,29,3200
Beauharnois,16: Montérégie,14745,62520,31,25233
Bécancour,17: Centre-du-Québec,14438,130490,32,43756
Beloeil,16: Montérégie,24775,181374,242,58705
Blainville,15: Laurentides,61114,492164,451,319097
Boisbriand,15: Laurentides,29229,163853,214,110276
Bois-des-Filion,15: Laurentides,10602,75810,90,40149
Boucherville,16: Montérégie,41726,462481,250,200545
Bromont,16: Montérégie,11834,75362,218,11749
Brossard,16: Montérégie,95066,506639,809,728889
Brownsburg-Chatham,15: Laurentides,7764,22021,39,9798
Candiac,16: Montérégie,24097,208752,81,75336
Cantley,07: Outaouais,12001,42702,25,22677
Chambly,16: Montérégie,31692,266939,146,59080
Chandler,11: Gaspésie-Iles-de-la-Madeleine,7419,5526,,
Charlemagne,14: Lanaudière,6495,22779,86,16663
Châteauguay,16: Montérégie,52320,194970,244,148326
Chelsea,07: Outaouais,8825,75392,82,19916
Chertsey,14: Lanaudière,5478,24900,28,27937
Chibougamau,10: Nord-du-Québec,7321,17241,11,10985
Coaticook,05: Estrie,8893,38181,261,21685
Contrecoeur,16: Montérégie,10194,69498,54,19665
Coteau-du-Lac,16: Montérégie,7681,56462,30,85947
Côte-Saint-Luc,06: Montréal,37833,257599,441,322456
Cowansville,16: Montérégie,18382,120113,312,41843
Delson,16: Montérégie,8557,39845,108,19200
Deux-Montagnes,15: Laurentides,18347,84390,160,107639
Dolbeau-Mistassini,02: Saguenay-Lac-Saint-Jean,13717,76923,25,21752
Dollard-des-Ormeaux,06: Montréal,50171,289170,519,319271
Donnacona,03: Capitale-Nationale,7653,29635,39,9490
Dorval,06: Montréal,20382,159041,264,482188
Drummondville,17: Centre-du-Québec,82790,631009,428,990276
Farnham,16: Montérégie,10848,46937,27,
Fermont,09: Côte-Nord,2181,8717,59,3658
Gatineau,07: Outaouais,304787,1711650,2765,2458003
Granby,16: Montérégie,88623,486108,855,458721
Joliette,14: Lanaudière,38097,252337,695,1095862
Kirkland,06: Montréal,38854,192058,998,131659
Lac-Beauport,03: Capitale-Nationale,8396,52454,8,27620
Lac-Brome,16: Montérégie,6984,20755,70,11215
Lachute,15: Laurentides,18158,70451,225,78011
Lac-Mégantic,05: Estrie,6002,47846,65,71348
La Malbaie,03: Capitale-Nationale,8442,54293,231,50119
L'Ancienne-Lorette,03: Capitale-Nationale,17406,158266,130,82466
La Pêche,07: Outaouais,9100,22734,41,10934
La Prairie,16: Montérégie,27015,155124,258,63001
La Sarre,08: Abitibi-Témiscamingue,7188,53625,34,116289
L'Assomption,14: Lanaudière,24502,143741,634,115097
La Tuque,04: Mauricie,11893,34433,53,25170
Laval,13: Laval,450629,2557329,2159,3239199
Lavaltrie,14: Lanaudière,15807,74597,312,8620
L'Épiphanie,14: Lanaudière,9090,23808,82,17617
Les Cèdres,16: Montérégie,7226,36794,93,22580
Les Coteaux,16: Montérégie,5938,23518,29,18184
Les Îles-de-la-Madeleine,11: Gaspésie-Îles-de-la-Madeleine,12428,23718,131,10544
Lévis,12: Chaudière-Appalaches,156225,969948,402,800058
L'Île-Perrot,16: Montérégie,11678,48374,244,39087
Longueuil,16: Montérégie,273776,1292276,1277,643260
Lorraine,15: Laurentides,9680,71303,40,26942
Louiseville,04: Mauricie,7565,22782,36,12841
Magog,05: Estrie,28790,230962,365,387148
Marieville,16: Montérégie,11778,60240,74,41699
Mascouche,14: Lanaudière,54540,320393,160,125463
Matane,01: Bas-Saint-Laurent,16954,82167,170,52306
McMasterville,16: Montérégie,6097,26442,9,7324
Mercier,16: Montérégie,15371,61375,71,
Mirabel,15: Laurentides,64973,238915,110,208979
Mont-Joli,01: Bas-Saint-Laurent,7402,48365,99,19217
Mont-Laurier,15: Laurentides,14521,66465,64,24880
Montmagny,12: Chaudière-Appalaches,10952,47073,125,33901
Montréal,06: Montréal,1895211,10830870,29464,15064298
Montréal-Est,06: Montréal,4808,26797,140,
Montréal-Ouest,06: Montréal,5250,27941,481,25011
Mont-Royal,06: Montréal,21775,317223,280,234866
Mont-Saint-Hilaire,16: Montérégie,28443,183433,221,129822
Mont-Tremblant,15: Laurentides,11621,92150,100,30940
Nicolet,17: Centre-du-Québec,8726,31318,45,11804
Notre-Dame-de-l'Île-Perrot,16: Montérégie,13628,77221,272,72566
Notre-Dame-des-Prairies,14: Lanaudière,9528,61607,42,44621
Notre-Dame-du-Mont-Carmel,04: Mauricie,6400,57605,77,21625
Oka,15: Laurentides,6059,17860,54,7999
Pincourt,16: Montérégie,15095,76180,39,
Plessisville,17: Centre-du-Québec,8468,56763,49,
Pointe-Calumet,15: Laurentides,6257,20179,41,8284
Pointe-Claire,06: Montréal,35429,395301,1883,188423
Pont-Rouge,03: Capitale-Nationale,10993,84428,,27268
Port-Cartier,09: Côte-Nord,6545,34390,54,8089
Prévost,15: Laurentides,13957,77972,133,38950
Princeville,17: Centre-du-Québec,6334,26241,186,8275
Québec,03: Capitale-Nationale,583336,3389902,2189,3912319
Rawdon,14: Lanaudière,12234,56999,105,27268
Repentigny,14: Lanaudière,87980,472828,944,487258
Richelieu,16: Montérégie,5872,21330,18,10466
Rigaud,16: Montérégie,7951,42824,39,14992
Rimouski,01: Bas-Saint-Laurent,53038,428569,385,358940
Rivière-du-Loup,01: Bas-Saint-Laurent,20472,159184,924,112570
Roberval,02: Saguenay-Lac-Saint-Jean,9887,36480,90,12548
Rosemère,15: Laurentides,14138,157366,197,79687
Rouyn-Noranda,08: Abitibi-Témiscamingue,42827,140366,605,196997
Saguenay,02: Saguenay-Lac-Saint-Jean,148886,761037,653,451455
Saint-Amable,16: Montérégie,13796,68849,83,
Saint-Apollinaire,12: Chaudière-Appalaches,8689,34351,23,2879
Saint-Augustin-de-Desmaures,03: Capitale-Nationale,20590,133258,111,56353
Saint-Basile-le-Grand,16: Montérégie,17302,167082,83,52108
Saint-Bruno-de-Montarville,16: Montérégie,26643,232581,403,122147
Saint-Calixte,14: Lanaudière,7194,38074,32,12975
Saint-Césaire,16: Montérégie,6129,8761,24,3929
Saint-Colomban,15: Laurentides,18446,158642,338,37752
Saint-Constant,16: Montérégie,31311,212734,174,119227
Sainte-Adèle,15: Laurentides,14763,109964,93,37495
Sainte-Agathe-des-Monts,15: Laurentides,11726,102237,24,
Sainte-Anne-de-Bellevue,06: Montréal,6396,23318,82,20487
Sainte-Anne-des-Monts,11: Gaspésie-Îles-de-la-Madeleine,6090,36246,42,34164
Sainte-Anne-des-Plaines,15: Laurentides,15887,70098,128,26796
Sainte-Brigitte-de-Laval,03: Capitale-Nationale,8781,22158,4,10057
Sainte-Catherine,16: Montérégie,17579,115073,125,124957
Sainte-Catherine-de-la-Jacques-Cartier,03: Capitale-Nationale,11860,57092,106,45276
Sainte-Julie,16: Montérégie,30413,408079,405,257835
