id_arbre,essence,type_arbre,diametre_cm,type_lieu,latitude,longitude
50674,alisier,Feuillu,22,Lieu public,46.84029104344858,-71.2113116559127
50675,alisier,Feuillu,21,Lieu public,46.84032702593601,-71.21131213081193
250924,alisier,Feuillu,30,Lieu public,46.77298652114412,-71.29857463604762
319022,alisier,Feuillu,5,Lieu public,46.80431730801275,-71.29285023569219
319699,alisier,Feuillu,5,Lieu public,46.80426612515003,-71.29283366977722
329182,alisier,Feuillu,7,tronçon,46.90804310269363,-71.21000182712363
330082,alisier,Feuillu,5,tronçon,46.89945377703707,-71.28733154480601
330464,alisier,Feuillu,5,tronçon,46.905686374863656,-71.34894987044582
330465,alisier,Feuillu,5,tronçon,46.90504151409208,-71.3498359977435
332454,alisier,Feuillu,5,tronçon,46.881082634769506,-71.29526292084748
332455,alisier,Feuillu,5,tronçon,46.881046865482105,-71.29535873620141
335231,alisier,Feuillu,5,Lieu public,46.804396919244915,-71.33538301946254
342287,alisier,Feuillu,9,tronçon,46.79079608991163,-71.25026561245889
354955,alisier,Feuillu,5,Lieu public,46.8212074181198,-71.26484879437355
364212,alisier,Feuillu,5,Lieu public,46.80473555470632,-71.29272384163379
364213,alisier,Feuillu,5,Lieu public,46.804726926209256,-71.29276423917972
364214,alisier,Feuillu,5,Lieu public,46.80473109776125,-71.2929373640128
374401,alisier,Feuillu,5,tronçon,46.778520966447616,-71.2537577722738
375162,alisier,Feuillu,5,Lieu public,46.800978489698814,-71.31756167799557
376205,alisier,Feuillu,5,tronçon,46.89062505997736,-71.30595413286449
387652,alisier,Feuillu,5,tronçon,46.90224327933437,-71.29309203083731
483858,alisier,Feuillu,3,Lieu public,46.78766010337739,-71.33256836405728
483859,alisier,Feuillu,3,Lieu public,46.78766656443579,-71.33253104324832
483860,alisier,Feuillu,3,Lieu public,46.78767779426753,-71.33249239449127
483861,alisier,Feuillu,3,Lieu public,46.78776587697084,-71.33242582722491
483862,alisier,Feuillu,3,Lieu public,46.78777424611964,-71.33238714737159
483863,alisier,Feuillu,3,Lieu public,46.78777927078931,-71.3323518737773
483864,alisier,Feuillu,3,Lieu public,46.78786877459722,-71.33228534116256
483865,alisier,Feuillu,3,Lieu public,46.787877142694555,-71.332248036473
483866,alisier,Feuillu,3,Lieu public,46.787884558266235,-71.33220934181509
483867,alisier,Feuillu,3,Lieu public,46.78774212498605,-71.33169841381861
483868,alisier,Feuillu,3,Lieu public,46.78772442128873,-71.33171061024362
483869,alisier,Feuillu,3,Lieu public,46.787708911576566,-71.33168335053634
483870,alisier,Feuillu,3,Lieu public,46.787691013114696,-71.33165673513761
483871,alisier,Feuillu,3,Lieu public,46.78768981951916,-71.33162414249156
486496,alisier,Feuillu,5,tronçon,46.88835971694922,-71.29333487972276
493534,alisier,Feuillu,7,tronçon,46.89128103318947,-71.303602198815625
497118,alisier,Feuillu,11,tronçon,46.75024651242518,-71.37105257242276
499957,alisier,Feuillu,2,tronçon,46.89108686410644,-71.30407524204787
459,amélanchier,Feuillu,12,Lieu public,46.818644183297046,-71.22447217072141
24255,amélanchier,Feuillu,15,Lieu public,46.813387421610315,-71.20475863113442
26927,amélanchier,Feuillu,14,Lieu public,46.81028811983586,-71.25485129222649
26935,amélanchier,Feuillu,14,Lieu public,46.81023475119349,-71.25475882263528
28142,amélanchier,Feuillu,12,Lieu public,46.81719730932121,-71.23270886037194
28143,amélanchier,Feuillu,19,Lieu public,46.817188649241174,-71.23265632290699
28144,amélanchier,Feuillu,19,Lieu public,46.81718906862734,-71.2325908038211
28151,amélanchier,Feuillu,21,Lieu public,46.81704564197758,-71.23251022629178
28187,amélanchier,Feuillu,24,Lieu public,46.81705505689587,-71.2324448295301
28272,amélanchier,Feuillu,22,Lieu public,46.81632976487358,-71.23191079097943
28273,amélanchier,Feuillu,22,Lieu public,46.81635708689649,-71.23185874269231
28274,amélanchier,Feuillu,23,Lieu public,46.81629420135082,-71.23184478472785
32736,amélanchier,Feuillu,7,tronçon,46.82613983113652,-71.32097819100129
32749,amélanchier,Feuillu,6,tronçon,46.82610967752554,-71.32186663203495
32826,amélanchier,Feuillu,8,tronçon,46.82981959668287,-71.32202761612719
32915,amélanchier,Feuillu,7,tronçon,46.82724758831491,-71.321732323797
32945,amélanchier,Feuillu,9,tronçon,46.82865729498794,-71.32349368055495
33689,amélanchier,Feuillu,5,tronçon,46.8443520810984,-71.30540141380631
33750,amélanchier,Feuillu,8,tronçon,46.846192750390614,-71.27825638723908
49024,amélanchier,Feuillu,20,Lieu public,46.79459031782289,-71.25197255967748
60580,amélanchier,Feuillu,21,Lieu public,46.8194647781057,-71.30369292825054
70308,amélanchier,Feuillu,28,Lieu public,46.86319955255326,-71.3432348440943
72909,amélanchier,Feuillu,12,Lieu public,46.8109318395222,-71.21340102533304
72973,amélanchier,Feuillu,14,Lieu public,46.81085854603314,-71.20781800153256
72977,amélanchier,Feuillu,10,Lieu public,46.81079606245319,-71.20773856137663
210809,amélanchier,Feuillu,33,tronçon,46.78202458756272,-71.26223572678673
223677,amélanchier,Feuillu,25,tronçon,46.75006962137025,-71.3525748111066
225151,amélanchier,Feuillu,19,tronçon,46.76553007716102,-71.38582133311198
226250,amélanchier,Feuillu,24,tronçon,46.83684132790088,-71.24422074894179
231415,amélanchier,Feuillu,6,tronçon,46.88413302206456,-71.29447503619724
231867,amélanchier,Feuillu,12,tronçon,46.883786477735626,-71.29493603665358
237071,amélanchier,Feuillu,26,tronçon,46.85684159907931,-71.27632833088256
237861,amélanchier,Feuillu,6,tronçon,46.85861073185675,-71.26758243925215
237862,amélanchier,Feuillu,8,tronçon,46.85856245838155,-71.26767353024952
243157,amélanchier,Feuillu,14,Lieu public,46.86085603001376,-71.26674327640399
243158,amélanchier,Feuillu,12,Lieu public,46.86085612886449,-71.26683461475106
243194,amélanchier,Feuillu,20,Lieu public,46.74665605955096,-71.36557775041666
243195,amélanchier,Feuillu,13,Lieu public,46.74663272723824,-71.36555096558921
