city,neighbourhood,species,height_m,diameter_cm,estimated_age_years,health_status
Quebec,Saint-Roch,Maple,12.4,31,28,good
Quebec,Saint-Roch,Linden,10.8,27,22,fair
Quebec,Montcalm,Maple,15.2,42,41,good
Quebec,Montcalm,Oak,18.9,56,62,good
Quebec,Limoilou,Elm,9.7,24,18,fair
Quebec,Limoilou,Maple,13.1,35,33,good
Levis,Old Levis,Linden,11.2,29,26,good
Levis,Old Levis,Oak,16.5,48,52,good
Levis,Saint-Romuald,Maple,8.9,21,16,poor
Levis,Saint-Romuald,Elm,10.4,25,20,fair
Sherbrooke,Jacques-Cartier,Maple,14.3,39,37,good
Sherbrooke,Jacques-Cartier,Oak,17.8,51,58,good
Sherbrooke,Fleurimont,Linden,9.5,23,19,fair
Sherbrooke,Fleurimont,Maple,12.7,34,31,good
Montreal,Rosemont,Maple,11.6,30,27,good
Montreal,Rosemont,Elm,8.8,22,15,poor
Montreal,Plateau,Linden,13.9,36,34,good
Montreal,Plateau,Oak,19.4,59,68,good
Trois-Rivieres,Downtown,Maple,10.2,26,21,fair
Trois-Rivieres,Downtown,Linden,9.9,24,20,fair
Trois-Rivieres,Cap-de-la-Madeleine,Oak,15.7,45,49,good
Trois-Rivieres,Cap-de-la-Madeleine,Elm,7.6,19,12,poor
Gatineau,Hull,Maple,12.1,33,29,good
Gatineau,Hull,Linden,11.7,32,28,good
