nature,categorie,arrondissement,statut,date_creation
Information,Organisme divers,Non assigné,Sans statut,2023-07-10
Information,Écocentre,Non assigné,Sans statut,2023-07-10
Information,Direction d'arrondissement,Non assigné,Sans statut,2023-07-11
Information,Subvention - Habitation - Service central,Non assigné,Sans statut,2023-07-11
Information,Taxes foncières,Non assigné,Sans statut,2023-07-11
Information,Feux de circulation - Entretien,Non assigné,Sans statut,2022-04-18
Information,Collecte de résidus verts,Non assigné,Sans statut,2022-04-18
Information,Taxes foncières,Non assigné,Sans statut,2022-04-18
Information,Culture - Activités,Non assigné,Sans statut,2022-04-18
Information,Écocentre,Non assigné,Sans statut,2022-11-19
Information,SRRR,Non assigné,Sans statut,2022-11-19
Information,Signalisation - Circulation - Études,Non assigné,Sans statut,2024-12-07
Information,Collecte de déchets,Non assigné,Sans statut,2022-08-02
Information,Bac roulant,Non assigné,Sans statut,2022-06-20
Information,Fermeture d'une conduite d'eau - Urgence,Non assigné,Sans statut,2023-06-24
Information,Bureau d'arrondissement - Service à la clientèle,Non assigné,Sans statut,2023-02-15
Information,Taxes foncières,Non assigné,Sans statut,2023-02-15
Information,Collecte des encombrants,Non assigné,Sans statut,2023-02-15
Information,Fermeture d'une conduite d'eau - Urgence,Non assigné,Sans statut,2022-01-09
Information,Fermeture d'une conduite d'eau - Urgence,Non assigné,Sans statut,2022-01-09
Information,Fermeture d'une conduite d'eau - Urgence,Non assigné,Sans statut,2022-01-09
Information,Fermeture d'une conduite d'eau - Urgence,Non assigné,Sans statut,2022-01-09
Information,Espace pour la vie,Non assigné,Sans statut,2022-01-09
Information,Animaux sauvages - Nuisance,Non assigné,Sans statut,2022-01-09
Information,Info-Remorquage,Non assigné,Sans statut,2022-01-20
Information,Neige - Remorquage,Non assigné,Sans statut,2022-01-20
Information,Opération déneigement,Non assigné,Sans statut,2022-01-20
Information,Opération déneigement,Non assigné,Sans statut,2022-01-20
Information,Nid-de-poule,Non assigné,Sans statut,2022-01-20
Information,Cour municipale,Non assigné,Sans statut,2022-01-20
Information,Fermeture d'entrée d'eau,Non assigné,Sans statut,2022-12-12
Information,Permis animalier,Non assigné,Sans statut,2022-12-12
Information,Élagage,Non assigné,Sans statut,2022-12-12
Information,Logement - Inspection,Non assigné,Sans statut,2022-12-12
Information,Fermeture d'entrée d'eau,Non assigné,Sans statut,2022-12-12
Information,Animal mort,Non assigné,Sans statut,2022-12-12
Information,Dépôt illégal - Déchets,Non assigné,Sans statut,2022-11-27
Information,Collecte des encombrants,Non assigné,Sans statut,2022-01-10
Information,Permis - Divers,Non assigné,Sans statut,2022-01-10
Information,Permis - Divers,Non assigné,Sans statut,2022-01-10
Information,Gel Entrée d'eau,Non assigné,Sans statut,2022-01-16
Information,Info-Remorquage,Non assigné,Sans statut,2022-01-16
Information,Fermeture d'une conduite d'eau - Urgence,Non assigné,Sans statut,2022-01-16
Information,Gel Entrée d'eau,Non assigné,Sans statut,2022-01-16
Information,Fermeture d'entrée d'eau,Non assigné,Sans statut,2022-01-16
Information,Gouvernement du Québec,Non assigné,Sans statut,2022-01-16
Information,Collecte des encombrants,Non assigné,Sans statut,2022-12-12
Information,Cour municipale,Non assigné,Sans statut,2022-12-12
Information,Sports et loisirs - Activités,Non assigné,Sans statut,2022-12-12
Information,Info-travaux - Service central,Non assigné,Sans statut,2022-12-12
Information,Permis animalier,Non assigné,Sans statut,2022-12-12
Information,Fermeture d'entrée d'eau,Non assigné,Sans statut,2022-12-12
Information,Collecte des encombrants,Non assigné,Sans statut,2022-12-12
Information,Organisme divers,Non assigné,Sans statut,2022-12-10
Information,Collecte de déchets,Non assigné,Sans statut,2022-12-10
Information,Manque d'eau,Non assigné,Sans statut,2022-12-10
Information,Collecte de résidus verts,Non assigné,Sans statut,2022-12-10
Information,*Z-Puisard,Non assigné,Sans statut,2022-12-10
Information,Opération déneigement,Non assigné,Sans statut,2025-12-11
Information,Collecte des encombrants,Non assigné,Sans statut,2022-01-10
Information,Avis Occupant / Consommation,Non assigné,Sans statut,2022-01-10
Information,Collecte des matières recyclables,Non assigné,Sans statut,2022-08-02
Information,Manque d'eau,Non assigné,Sans statut,2022-01-25
Information,Manque d'eau,Non assigné,Sans statut,2022-01-25
Information,Bureau d'arrondissement - Service à la clientèle,Non assigné,Sans statut,2022-01-25
Information,Bac roulant,Non assigné,Sans statut,2022-08-02
Information,Cour municipale,Non assigné,Sans statut,2022-08-02
Information,Collecte des matières recyclables,Non assigné,Sans statut,2022-08-02
Information,Feux de circulation - Entretien,Non assigné,Sans statut,2022-10-30
Information,Branche tombée,Non assigné,Sans statut,2022-07-23
Information,Danger potentiel - Arbre,Non assigné,Sans statut,2022-07-23
Information,Taxes foncières,Non assigné,Sans statut,2022-12-12
Information,Location d'immeuble,Non assigné,Sans statut,2022-12-12
Information,Info - Collecte d'objets encombrants,Non assigné,Sans statut,2022-12-12
Information,Collecte des matières organiques,Non assigné,Sans statut,2022-12-12
Information,Permis - Neige - Domaine public,Non assigné,Sans statut,2022-12-12
Information,Info-Remorquage,Non assigné,Sans statut,2022-12-12
Information,Info-travaux - Arrondissement,Non assigné,Sans statut,2022-12-12
Information,Aide au relogement,Non assigné,Sans statut,2022-12-12
Information,Occupation du domaine public,Non assigné,Sans statut,2022-12-12
Information,Collecte de déchets,Non assigné,Sans statut,2022-12-12
Information,"*Bac de recyclage Endommagé, perdu, volé",Non assigné,Sans statut,2022-12-12
Information,Taxes foncières,Non assigné,Sans statut,2022-12-12
Information,Bac roulant,Non assigné,Sans statut,2022-12-12
Information,Organisme divers,Non assigné,Sans statut,2022-12-12
Information,Fermeture d'une conduite d'eau - Urgence,Non assigné,Sans statut,2023-11-07
Information,Intervention stationnement,Non assigné,Sans statut,2023-11-07
