ID_Variable;QUOTE_DATE;SEASON;Quarter;MONTH;VEHICLE_YEAR;VEHICLE_MAKE;VEHICLE_MODEL;VEHICLE_TYPE;ANNUAL_KM;COMMUTE_DISTANCE;VEHICLE_USE;FSA_CODE;REGIONAL_AREA;MARITAL_STATUS;GENDER;MULTI_PRODUCT;YEARS_LICENSED;YEAR_OF_BIRTH;AGE;GENERATION;IS_BOUND;IS_BOUND_BINARY
40000001;02/01/2016;Winter;Q1;January;2006;VOLKSWAGEN;JETTA;CAR;10000;;Pleasure;J7E;Western Quebec;Married;Male;No;25;1975;41;Gen X;Not Bound;0
40000002;02/01/2016;Winter;Q1;January;2017;HYUNDAI;ELANTRA;CAR;20000;;Business;L0R;Central Ontario;Married;Male;No;10;1958;58;Baby Boomers;Not Bound;0
40000003;02/01/2016;Winter;Q1;January;2015;CHEVROLET;SILVERADO;TRUCK;3000;;Pleasure;T5C;Alberta;Single;Male;No;39;1960;56;Baby Boomers;Bound;1
40000004;02/01/2016;Winter;Q1;January;2010;TOYOTA;COROLLA;CAR;20000;20;Commute;L6T;Central Ontario;Single;Male;Yes;3;1985;31;Gen Y;Not Bound;0
40000005;04/01/2016;Winter;Q1;January;2013;HONDA;CIVIC;CAR;30000;30;Commute;L3R;Central Ontario;Single;Male;Yes;2;1982;34;Gen Y;Not Bound;0
40000006;04/01/2016;Winter;Q1;January;2008;PONTIAC;TORRENT;CAR;16000;16;Commute;B1G;Nova Scotia;Single;Male;No;3;1996;20;Gen Z;Not Bound;0
40000007;04/01/2016;Winter;Q1;January;2007;KIA;SEDONA;VAN;20000;15;Commute;N2B;Southwestern Ontario;Married;Female;Yes;22;1974;42;Gen X;Not Bound;0
40000008;04/01/2016;Winter;Q1;January;2008;SMART;SMART;CAR;10000;16;Commute;K0C;Eastern Ontario;Married;Male;Yes;36;1960;56;Baby Boomers;Not Bound;0
40000009;04/01/2016;Winter;Q1;January;2013;MAZDA;MAZDA3;CAR;10000;6;Commute;M1S;Metropolitan Toronto;Married;Male;Yes;3;1982;34;Gen Y;Not Bound;0
40000010;04/01/2016;Winter;Q1;January;1999;TOYOTA;COROLLA;CAR;10000;;Pleasure;M1W;Metropolitan Toronto;Married;Male;Yes;21;1929;87;Traditionalist;Not Bound;0
40000011;04/01/2016;Winter;Q1;January;2016;HONDA;CR-V;CAR;10000;5;Commute;M1L;Metropolitan Toronto;Married;Male;Yes;2;1968;48;Gen X;Not Bound;0
40000012;04/01/2016;Winter;Q1;January;2003;HONDA;ODYSSEY;VAN;5000;;Pleasure;N8P;Southwestern Ontario;Married;Male;Yes;43;1957;59;Baby Boomers;Not Bound;0
40000013;04/01/2016;Winter;Q1;January;2006;BUICK;TERRAZA;CAR;8000;;Pleasure;K9V;Eastern Ontario;Single;Male;Yes;61;1935;81;Traditionalist;Not Bound;0
40000014;04/01/2016;Winter;Q1;January;2006;CHEVROLET;IMPALA;CAR;5000;;Pleasure;K1T;Eastern Ontario;Widow_Widower;Female;Yes;24;1943;73;Traditionalist;Not Bound;0
40000015;04/01/2016;Winter;Q1;January;2012;FORD;ESCAPE;CAR;10000;7;Commute;N5P;Southwestern Ontario;Married;Female;Yes;32;1963;53;Baby Boomers;Not Bound;0
40000016;04/01/2016;Winter;Q1;January;2002;CHEVROLET;SILVERADO;TRUCK;10000;;Pleasure;L8H;Central Ontario;Single;Male;No;23;1977;39;Gen Y;Not Bound;0
40000017;04/01/2016;Winter;Q1;January;1999;TOYOTA;SIENNA;VAN;5000;150;Pleasure;M2R;Metropolitan Toronto;Single;Male;Yes;26;1957;59;Baby Boomers;Not Bound;0
40000018;04/01/2016;Winter;Q1;January;2015;LINCOLN;MKC;CAR;5000;;Pleasure;N8N;Southwestern Ontario;Married;Female;Yes;40;1956;60;Baby Boomers;Not Bound;0
40000019;04/01/2016;Winter;Q1;January;2007;TOYOTA;YARIS;CAR;15000;20;Commute;K2G;Eastern Ontario;Married;Male;Yes;15;1966;50;Gen X;Not Bound;0
40000020;04/01/2016;Winter;Q1;January;2014;DODGE;RAM;TRUCK;9000;;Pleasure;B0K;Nova Scotia;Married;Male;Yes;52;1948;68;Baby Boomers;Not Bound;0
40000021;04/01/2016;Winter;Q1;January;2005;NISSAN;SENTRA;CAR;1000;;Pleasure;K7H;Eastern Ontario;Married;Male;Yes;19;1965;51;Gen X;Not Bound;0
