workshop_id,workshop_date,start_hour,campus,duration_minutes,participants,temperature_c,rain_mm,mean_satisfaction,topic
A-001,2026-01-15,9,Quebec,60,18,-8,0,4.1,Quarto
A-002,2026-01-16,13,Quebec,75,24,-6,1.2,4.2,Visualization
A-003,2026-01-18,16,Levis,60,12,-5,0,3.8,Import
A-004,2026-01-22,10,Quebec,90,31,-3,0.4,4.4,EDA
A-005,2026-01-24,14,Levis,75,16,-2,2.1,4.0,Quarto
A-006,2026-01-29,18,Quebec,60,22,-4,0,4.3,Visualization
A-007,2026-02-03,9,Quebec,90,28,-10,0,4.5,EDA
A-008,2026-02-05,15,Levis,60,14,-7,3.4,3.7,Import
A-009,2026-02-07,17,Quebec,75,35,-4,0.2,4.6,Visualization
A-010,2026-02-11,11,Quebec,60,20,-1,0,4.2,Quarto
A-011,2026-02-13,13,Levis,90,18,0,6.5,3.9,EDA
A-012,2026-02-17,16,Quebec,75,33,1,0,4.7,Visualization
A-013,2026-02-20,9,Quebec,60,19,-6,,4.0,Import
A-014,2026-02-24,14,Levis,75,15,-2,4.8,3.8,Quarto
A-015,2026-02-26,18,Quebec,90,37,2,0,4.6,EDA
A-016,2026-03-03,10,Quebec,60,21,1,1.0,4.1,Import
A-017,2026-03-05,13,Levis,75,17,3,0.6,4.0,Visualization
A-018,2026-03-10,16,Quebec,90,39,4,0,4.8,EDA
A-019,2026-03-12,9,Quebec,60,23,5,0,4.4,Quarto
A-020,2026-03-17,15,Levis,75,18,6,7.2,3.8,Import
A-021,2026-03-19,18,Quebec,90,41,4,0.3,4.7,Visualization
A-022,2026-03-24,11,Quebec,60,26,2,0,4.5,Quarto
A-023,2026-03-26,14,Levis,75,19,1,2.8,4.2,EDA
A-024,2026-03-31,17,Quebec,90,44,7,0,,Visualization
