station,date_heure,carbone_noir,monoxyde_carbone,ozone,particules_fines,dioxyde_soufre
03006 - Québec - Vieux-Limoilou,2025-07-01 00:00:00,7.1724,0.4897,6.6078,25.4002,0.0397
03006 - Québec - Vieux-Limoilou,2025-07-01 01:00:00,3.3619,0.4507,3.5532,22.2887,0.091
03006 - Québec - Vieux-Limoilou,2025-07-01 02:00:00,1.8925,NA,8.4092,17.4211,0.0634
03006 - Québec - Vieux-Limoilou,2025-07-01 03:00:00,0.9089,0.2354,9.2892,12.9813,0.124
03006 - Québec - Vieux-Limoilou,2025-07-01 04:00:00,1.0112,0.2217,6.2053,12.9623,0.0654
03006 - Québec - Vieux-Limoilou,2025-07-01 05:00:00,0.5858,0.1962,9.8378,11.3953,0.0313
03006 - Québec - Vieux-Limoilou,2025-07-01 06:00:00,0.581,0.2075,8.7919,10.6519,0.0545
03006 - Québec - Vieux-Limoilou,2025-07-01 07:00:00,0.7443,0.2145,7.6165,10.3366,0.0312
03006 - Québec - Vieux-Limoilou,2025-07-01 08:00:00,1.0895,0.2382,5.3678,9.9592,0.0282
03006 - Québec - Vieux-Limoilou,2025-07-01 09:00:00,1.0296,0.2375,7.4118,8.9222,0.0312
03006 - Québec - Vieux-Limoilou,2025-07-01 10:00:00,0.827,0.2293,9.9247,7.4238,0.0365
03006 - Québec - Vieux-Limoilou,2025-07-01 11:00:00,0.6874,0.2154,9.8725,5.1774,0.0303
03006 - Québec - Vieux-Limoilou,2025-07-01 12:00:00,0.8008,0.2193,10.8671,4.9027,0.043
03006 - Québec - Vieux-Limoilou,2025-07-01 13:00:00,1.1351,0.236,15.056,4.6174,0.0338
03006 - Québec - Vieux-Limoilou,2025-07-01 14:00:00,0.7604,0.2274,23.9762,10.2434,0.0248
03006 - Québec - Vieux-Limoilou,2025-07-01 15:00:00,0.4448,0.1996,30.0424,8.5707,0.0267
03006 - Québec - Vieux-Limoilou,2025-07-01 16:00:00,0.4224,0.2032,31.9614,8.7086,0.0135
03006 - Québec - Vieux-Limoilou,2025-07-01 17:00:00,0.3862,0.1938,31.7301,6.4899,0.0215
03006 - Québec - Vieux-Limoilou,2025-07-01 18:00:00,0.1241,0.1593,35.8028,3.6099,0.0137
03006 - Québec - Vieux-Limoilou,2025-07-01 19:00:00,0.196,0.166,33.4164,3.3153,0.01
03006 - Québec - Vieux-Limoilou,2025-07-01 20:00:00,0.2597,0.1903,30.7864,3.3467,0.0137
03006 - Québec - Vieux-Limoilou,2025-07-01 21:00:00,0.2775,0.1836,26.3425,3.6772,0.0163
