jeu_id,etiquette
00ec17f8-c7f1-414c-9860-a12bd0c91824,Collecte des matières résiduelles
00ec17f8-c7f1-414c-9860-a12bd0c91824,GMR
00ec17f8-c7f1-414c-9860-a12bd0c91824,Municipal
00ec17f8-c7f1-414c-9860-a12bd0c91824,Point de dépôt
00ec17f8-c7f1-414c-9860-a12bd0c91824,Recyclage
00ec17f8-c7f1-414c-9860-a12bd0c91824,Écocentre
b10a6f01-320c-4d56-b545-1ee5b70fdaeb,Acces a l eau
b10a6f01-320c-4d56-b545-1ee5b70fdaeb,Bateau
b10a6f01-320c-4d56-b545-1ee5b70fdaeb,Canot
b10a6f01-320c-4d56-b545-1ee5b70fdaeb,Descente
b10a6f01-320c-4d56-b545-1ee5b70fdaeb,Donnee ouverte
b10a6f01-320c-4d56-b545-1ee5b70fdaeb,Eau
b10a6f01-320c-4d56-b545-1ee5b70fdaeb,Lac
b10a6f01-320c-4d56-b545-1ee5b70fdaeb,Msp
b10a6f01-320c-4d56-b545-1ee5b70fdaeb,Quai
b10a6f01-320c-4d56-b545-1ee5b70fdaeb,Rampe de mise a l eau
b10a6f01-320c-4d56-b545-1ee5b70fdaeb,Riviere
b10a6f01-320c-4d56-b545-1ee5b70fdaeb,Ville de shawinigan
668b7750-b71a-4b4e-a0b2-c04a7710a2e4,Conseiller municipal
668b7750-b71a-4b4e-a0b2-c04a7710a2e4,District electoral
668b7750-b71a-4b4e-a0b2-c04a7710a2e4,Donnee ouverte
668b7750-b71a-4b4e-a0b2-c04a7710a2e4,Elections
668b7750-b71a-4b4e-a0b2-c04a7710a2e4,Ville de shawinigan
668b7750-b71a-4b4e-a0b2-c04a7710a2e4,Vote
32f75a4d-552f-4ca3-ae03-e1512c0420d7,Batiment
32f75a4d-552f-4ca3-ae03-e1512c0420d7,Donnee ouverte
32f75a4d-552f-4ca3-ae03-e1512c0420d7,Logement
32f75a4d-552f-4ca3-ae03-e1512c0420d7,Neige
32f75a4d-552f-4ca3-ae03-e1512c0420d7,Ville de shawinigan
08123b30-f795-432b-8b4a-13a3925f72f4,Donnee ouverte
08123b30-f795-432b-8b4a-13a3925f72f4,Parc
08123b30-f795-432b-8b4a-13a3925f72f4,Ville de shawinigan
6813f7dd-8f31-4581-afb5-f5faef10b9b2,Aire de jeux
6813f7dd-8f31-4581-afb5-f5faef10b9b2,Donnee ouverte
6813f7dd-8f31-4581-afb5-f5faef10b9b2,Enfant
6813f7dd-8f31-4581-afb5-f5faef10b9b2,Equipement sportif
6813f7dd-8f31-4581-afb5-f5faef10b9b2,Module de jeu
6813f7dd-8f31-4581-afb5-f5faef10b9b2,Msp
6813f7dd-8f31-4581-afb5-f5faef10b9b2,Parc
6813f7dd-8f31-4581-afb5-f5faef10b9b2,Sport
6813f7dd-8f31-4581-afb5-f5faef10b9b2,Terrain de sport
6813f7dd-8f31-4581-afb5-f5faef10b9b2,Ville de shawinigan
8e09581e-6963-4994-bd6d-b952e2be7648,Activite hivernale
8e09581e-6963-4994-bd6d-b952e2be7648,Donnee ouverte
8e09581e-6963-4994-bd6d-b952e2be7648,Motoneige
8e09581e-6963-4994-bd6d-b952e2be7648,Skidoo
8e09581e-6963-4994-bd6d-b952e2be7648,Ville de shawinigan
c6138a86-5777-4b3a-9b98-067889d90c3b,4 roues
c6138a86-5777-4b3a-9b98-067889d90c3b,Donnee ouverte
c6138a86-5777-4b3a-9b98-067889d90c3b,Quad
c6138a86-5777-4b3a-9b98-067889d90c3b,Vehicule hors route
c6138a86-5777-4b3a-9b98-067889d90c3b,Ville de shawinigan
c6138a86-5777-4b3a-9b98-067889d90c3b,Vtt
3f137d4d-b156-4e77-afed-febd3d5352f4,Activite hivernale
3f137d4d-b156-4e77-afed-febd3d5352f4,Donnee ouverte
3f137d4d-b156-4e77-afed-febd3d5352f4,Raquette
3f137d4d-b156-4e77-afed-febd3d5352f4,Raquette a neige
3f137d4d-b156-4e77-afed-febd3d5352f4,Sport
3f137d4d-b156-4e77-afed-febd3d5352f4,Ville de shawinigan
83596ebd-5845-4d98-aade-37723eabfad7,Art
83596ebd-5845-4d98-aade-37723eabfad7,Art public
83596ebd-5845-4d98-aade-37723eabfad7,Espace public
31748ec7-0afb-41d9-8634-c4cb66390732,Arbre
31748ec7-0afb-41d9-8634-c4cb66390732,Arbuste
31748ec7-0afb-41d9-8634-c4cb66390732,Conifère
31748ec7-0afb-41d9-8634-c4cb66390732,Feuillu
e4915d10-9c33-47a8-8e06-cf39306ef583,Chaussée
e4915d10-9c33-47a8-8e06-cf39306ef583,Rue
e4915d10-9c33-47a8-8e06-cf39306ef583,Voie
e4915d10-9c33-47a8-8e06-cf39306ef583,Voie publique
daa10606-5fdd-4c9b-b5ef-235081690b6e,Aire de planche à roulette
daa10606-5fdd-4c9b-b5ef-235081690b6e,Aréna
daa10606-5fdd-4c9b-b5ef-235081690b6e,Base de plein air
daa10606-5fdd-4c9b-b5ef-235081690b6e,Bibliothèque
daa10606-5fdd-4c9b-b5ef-235081690b6e,Bâtiment
daa10606-5fdd-4c9b-b5ef-235081690b6e,Caserne de pompier
daa10606-5fdd-4c9b-b5ef-235081690b6e,Centre art
daa10606-5fdd-4c9b-b5ef-235081690b6e,Centre communautaire
daa10606-5fdd-4c9b-b5ef-235081690b6e,Centre de congrès
daa10606-5fdd-4c9b-b5ef-235081690b6e,Centre de foire
daa10606-5fdd-4c9b-b5ef-235081690b6e,Centre récréatif
daa10606-5fdd-4c9b-b5ef-235081690b6e,Escalier
daa10606-5fdd-4c9b-b5ef-235081690b6e,Espace vert
daa10606-5fdd-4c9b-b5ef-235081690b6e,Gare autobus
daa10606-5fdd-4c9b-b5ef-235081690b6e,Glissade
daa10606-5fdd-4c9b-b5ef-235081690b6e,Glissoire
daa10606-5fdd-4c9b-b5ef-235081690b6e,Gymnase
daa10606-5fdd-4c9b-b5ef-235081690b6e,Information touristique
daa10606-5fdd-4c9b-b5ef-235081690b6e,Infrastructure
