municipality_code,municipality,municipality_type,region,validity_index_pct,metered_non_residential_connections_pct,validity_available
88055,Amos,City,Abitibi-Témiscamingue,59,0.08867925,TRUE
87050,Authier,Municipality,Abitibi-Témiscamingue,,,FALSE
87100,Authier-Nord,Municipality,Abitibi-Témiscamingue,,,FALSE
88022,Barraute,Municipality,Abitibi-Témiscamingue,57,0,TRUE
89050,Belcourt,Municipality,Abitibi-Témiscamingue,,,FALSE
85065,Belleterre,City,Abitibi-Témiscamingue,,,FALSE
88070,Berry,Municipality,Abitibi-Témiscamingue,,,FALSE
85020,Béarn,Municipality,Abitibi-Témiscamingue,65,0.89285714,TRUE
88005,Champneuf,Municipality,Abitibi-Témiscamingue,,,FALSE
87095,Chazel,Municipality,Abitibi-Témiscamingue,,,FALSE
87110,Clermont (08),Township,Abitibi-Témiscamingue,,,FALSE
87075,Clerval,Municipality,Abitibi-Témiscamingue,,,FALSE
85030,Duhamel-Ouest,Municipality,Abitibi-Témiscamingue,,,FALSE
87005,Duparquet,City,Abitibi-Témiscamingue,59,0,TRUE
87085,Dupuy,Municipality,Abitibi-Témiscamingue,59,0,TRUE
85055,Fugèreville,Municipality,Abitibi-Témiscamingue,,,FALSE
87020,Gallichan,Municipality,Abitibi-Témiscamingue,57,0,TRUE
85095,Guérin,Township,Abitibi-Témiscamingue,57,0.8,TRUE
85010,Kipawa,Municipality,Abitibi-Témiscamingue,59,,TRUE
88030,La Corne,Municipality,Abitibi-Témiscamingue,,,FALSE
88012,La Morandière-Rochebaucourt,Municipality,Abitibi-Témiscamingue,,,FALSE
88045,La Motte,Municipality,Abitibi-Témiscamingue,,,FALSE
87080,La Reine,Municipality,Abitibi-Témiscamingue,59,0,TRUE
87090,La Sarre,City,Abitibi-Témiscamingue,57,0.00687285,TRUE
85070,Laforce,Municipality,Abitibi-Témiscamingue,,,FALSE
88035,Landrienne,Township,Abitibi-Témiscamingue,69,0.81818182,TRUE
85060,Latulipe-Et-Gaboury,United townships,Abitibi-Témiscamingue,59,0,TRUE
88080,Launay,Township,Abitibi-Témiscamingue,,,FALSE
85052,Laverlochère-Angliers,Municipality,Abitibi-Témiscamingue,60,0.81818182,TRUE
85037,Lorrainville,Municipality,Abitibi-Témiscamingue,59,0,TRUE
87058,Macamic,City,Abitibi-Témiscamingue,59,0.96153846,TRUE
89015,Malartic,City,Abitibi-Témiscamingue,58,0.40540541,TRUE
85075,Moffet,Municipality,Abitibi-Témiscamingue,,,FALSE
87115,Normétal,Municipality,Abitibi-Témiscamingue,,,FALSE
85090,Notre-Dame-Du-Nord,Municipality,Abitibi-Témiscamingue,61,0.89285714,TRUE
85100,Nédélec,Township,Abitibi-Témiscamingue,58,0,TRUE
87025,Palmarolle,Municipality,Abitibi-Témiscamingue,,,FALSE
87035,Poularies,Municipality,Abitibi-Témiscamingue,,,FALSE
88090,Preissac,Municipality,Abitibi-Témiscamingue,,,FALSE
87010,Rapide-Danseur,Municipality,Abitibi-Témiscamingue,,,FALSE
89010,Rivière-Héva,Municipality,Abitibi-Témiscamingue,,,FALSE
