ville,quartier,essence,hauteur_m,diametre_cm,age_estime_ans,etat_sante
Quebec,Saint-Roch,Erable,12.4,31,28,bon
Quebec,Saint-Roch,Tilleul,10.8,27,22,moyen
Quebec,Montcalm,Erable,15.2,42,41,bon
Quebec,Montcalm,Chene,18.9,56,62,bon
Quebec,Limoilou,Orme,9.7,24,18,moyen
Quebec,Limoilou,Erable,13.1,35,33,bon
Levis,Vieux-Levis,Tilleul,11.2,29,26,bon
Levis,Vieux-Levis,Chene,16.5,48,52,bon
Levis,Saint-Romuald,Erable,8.9,21,16,faible
Levis,Saint-Romuald,Orme,10.4,25,20,moyen
Sherbrooke,Jacques-Cartier,Erable,14.3,39,37,bon
Sherbrooke,Jacques-Cartier,Chene,17.8,51,58,bon
Sherbrooke,Fleurimont,Tilleul,9.5,23,19,moyen
Sherbrooke,Fleurimont,Erable,12.7,34,31,bon
Montreal,Rosemont,Erable,11.6,30,27,bon
Montreal,Rosemont,Orme,8.8,22,15,faible
Montreal,Plateau,Tilleul,13.9,36,34,bon
Montreal,Plateau,Chene,19.4,59,68,bon
Trois-Rivieres,Centre-ville,Erable,10.2,26,21,moyen
Trois-Rivieres,Centre-ville,Tilleul,9.9,24,20,moyen
Trois-Rivieres,Cap-de-la-Madeleine,Chene,15.7,45,49,bon
Trois-Rivieres,Cap-de-la-Madeleine,Orme,7.6,19,12,faible
Gatineau,Hull,Erable,12.1,33,29,bon
Gatineau,Hull,Tilleul,11.7,32,28,bon
