site,type_compteur,annee_debut,passages_velo_cumules,latitude,longitude
Einstein,velo,2016,38475,46.79517,-71.29139
Rivière St-Charles,velo_pieton,2016,161213,46.81557,-71.24019
Parc des Saules,velo_pieton,2021,34722,46.80856,-71.3083
Corridor des Cheminots,velo_pieton,2021,102973,46.86052,-71.3403
Corridor des Beauportois,velo_pieton,2021,38092,46.88009,-71.2168
Route de l'Église,velo_pieton,2021,19328,46.76899,-71.29172
Chemin Sainte-Foy,velo_pieton,2025,160265,46.79403,-71.25573
Corridor du Littoral - Chutes Montmorency,velo_pieton,2021,58921,46.87617,-71.15608
Corridor du Littoral - Maizerets,velo,2021,146733,46.83614,-71.21582
Dalhousie,velo_pieton,2025,175961,46.81575,-71.20198
Corridor Père-Marquette,velo,2016,88240,46.7955,-71.24823
