ville,station,mois,jour_type,trajets,duree_mediane_min,temperature_c,precipitation_mm
Quebec,Gare du Palais,mai,semaine,124,16,15,0
Quebec,Gare du Palais,mai,fin_semaine,148,19,17,1
Quebec,Universite,juin,semaine,182,14,21,0
Quebec,Universite,juin,fin_semaine,156,18,22,4
Quebec,Port,septembre,semaine,131,17,18,6
Quebec,Port,septembre,fin_semaine,167,21,19,0
Montreal,Berri,mai,semaine,384,13,16,0
Montreal,Berri,mai,fin_semaine,421,17,18,0
Montreal,Plateau,juin,semaine,512,12,23,2
Montreal,Plateau,juin,fin_semaine,548,18,24,0
Montreal,Canal,septembre,semaine,438,15,19,5
Montreal,Canal,septembre,fin_semaine,476,22,20,1
Sherbrooke,Centre,mai,semaine,86,15,14,3
Sherbrooke,Centre,mai,fin_semaine,102,20,16,0
Sherbrooke,Universite,juin,semaine,137,13,22,0
Sherbrooke,Universite,juin,fin_semaine,121,18,23,7
Sherbrooke,Lac,septembre,semaine,92,16,17,8
Sherbrooke,Lac,septembre,fin_semaine,118,24,18,0
Gatineau,Musee,mai,semaine,142,14,16,2
Gatineau,Musee,mai,fin_semaine,168,20,18,0
Gatineau,Riviere,juin,semaine,205,13,24,0
Gatineau,Riviere,juin,fin_semaine,229,21,25,0
Gatineau,Marche,septembre,semaine,176,16,19,4
Gatineau,Marche,septembre,fin_semaine,191,22,20,2
