periode,categorie_produit,motif,secteur,ville_siege_social
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Cabinets de dentistes,Montréal
2026-07,10010-Aliments/Boissons/Tabac,Pratique trompeuse ou déloyale,Stations-service,Sept-Îles
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Mésentente liée au contrat conclu,Autres travaux spécialisés,Sainte-Julie
2026-07,99000-Autres (précisez),Pratique trompeuse ou déloyale,Marchés de viande,Québec
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Service à la clientèle / Absence de livraison / Non conformité,Travaux d'excavation et de nivellement//Coulage et finition du béton,Longueuil
2026-07,10010-Aliments/Boissons/Tabac,Pratique trompeuse ou déloyale,Autres types de commerce de gros de produits alimentaires//Supermarchés d'alimentation,TORONTO
2026-07,11030-Déménagement  entreposage et livraison,Service à la clientèle / Absence de livraison / Non conformité,Déménagement et entreposage de biens usagés//Commerce de gros de marchandises diverses,NA
2026-07,11040-Entretien ménager,Pratique trompeuse ou déloyale,Autres services aux entreprises//Ménages,Montréal
2026-07,18010-Enseignement académique et formation continue,Mésentente liée au contrat conclu,NA,NA
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Service à la clientèle / Absence de livraison / Non conformité,Plomberie,Saint-Pie
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion,Vaudreuil-Dorion
2026-07,10120-Automobiles neuves,Qualité des biens et services,Concessionnaires d'automobiles d'occasion//Garages (réparations générales),Laval
2026-07,10140-Autres moyens de transport,Qualité des biens et services,NA,NA
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion,Terrebonne
2026-07,10070-Appareils de chauffage et de climatisation,Pratique trompeuse ou déloyale,Rénovation de bâtiments résidentiels//Installation de systèmes de chauffage par fluide caloporteur,Longueuil
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion,Mirabel
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Pratique trompeuse ou déloyale,Épiceries (sauf supermarchés)//Stations-service,Montréal
2026-07,10130-Automobiles d'occasion,Mésentente liée au contrat conclu,Garages (réparations générales),Drummondville
2026-07,10130-Automobiles d'occasion,Autre,Autres industries de produits manufacturés//Autres services techniques,NA
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,NA,NA
2026-07,14030-Services d'infrastructures reliés au transport,Mésentente liée au contrat conclu,Commerce de gros d'automobiles//Garages (réparations générales),Trois-Rivières
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves,Blainville
2026-07,11030-Déménagement  entreposage et livraison,Service à la clientèle / Absence de livraison / Non conformité,Ménages//Services de location d'automobiles et de camions,Terrebonne
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Service à la clientèle / Absence de livraison / Non conformité,Travaux d'excavation et de nivellement,Saint-Basile
2026-07,10120-Automobiles neuves,Qualité des biens et services,Concessionnaires d'automobiles neuves//Garages (réparations générales),Salaberry-de-Valleyfield
2026-07,10140-Autres moyens de transport,Service à la clientèle / Absence de livraison / Non conformité,Commerce de détail de bicyclettes,Montréal
2026-07,10140-Autres moyens de transport,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion//Commerce de détail de motocyclettes et de motoneiges,Lévis
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Service à la clientèle / Absence de livraison / Non conformité,Aucune,Québec
2026-07,10040-Meubles,Qualité des biens et services,Commerce de détail de meubles de maison (avec appareils ména,Saint-Anselme
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Qualité des biens et services,Installation de systèmes de chauffage par fluide caloporteur//Travaux d'électricité,Laval
2026-07,12090-Recouvrement de créances,Pratique trompeuse ou déloyale,Agences de recouvrement,Toronto
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Pratique trompeuse ou déloyale,Bâtiments commerciaux//Menuiserie,St-Jean-sur-Richelieu
2026-07,10120-Automobiles neuves,Qualité des biens et services,Concessionnaires d'automobiles neuves,Québec
2026-07,10120-Automobiles neuves,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles neuves,Laval
2026-07,15010-Hôtels et autres hébergements touristiques,Service à la clientèle / Absence de livraison / Non conformité,Agences de publicité,Terrebonne
2026-07,10040-Meubles,Service à la clientèle / Absence de livraison / Non conformité,NA,NA
2026-07,10100-Articles des TIC (Technologies de l'information et de la communication),Qualité des biens et services,Autres services,Halifax
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Mésentente liée au contrat conclu,NA,NA
2026-07,13070-Services de télésurveillance,Service à la clientèle / Absence de livraison / Non conformité,Travaux d'électricité,Winnipeg
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Pratique trompeuse ou déloyale,Industrie des armoires et placards de cuisine et des coiffeu,Québec
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Commerce de détail de meubles de maison (avec appareils ména//Autres services,Victoriaville
2026-07,10010-Aliments/Boissons/Tabac,Mésentente avant l’achat liée au prix / au tarif,Confiseries et magasins de noix//Entreprises de vente directe,Granby
2026-07,10080-Petits appareils électroménagers,Service à la clientèle / Absence de livraison / Non conformité,Transports aériens (vols réguliers ou nolisés),NA
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles neuves//Concessionnaires d'automobiles d'occasion,Trois-Rivières
2026-07,15010-Hôtels et autres hébergements touristiques,Problème de facturation ou de recouvrement de créance,NA,NA
2026-07,13040-Services Internet,Problème de facturation ou de recouvrement de créance,Services d'informatique,Montréal
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Mésentente liée au contrat conclu,Autres services,Sainte-Anne-des-Plaines
2026-07,10120-Automobiles neuves,Autre,Concessionnaires d'automobiles neuves//Garages (réparations générales),Sept-Îles
2026-07,13030-Services de téléphonie mobile,Mésentente liée au contrat conclu,Autres services,Toronto
2026-07,12090-Recouvrement de créances,Problème de facturation ou de recouvrement de créance,Agences de recouvrement//Autres services aux entreprises,TROIS-RIVIÈRES (QUÉBEC)
2026-07,14020-Transport en commun  routier  ferroviaire et maritime,Pratique trompeuse ou déloyale,Autres transports par eau,Montréal
2026-07,10010-Aliments/Boissons/Tabac,Service à la clientèle / Absence de livraison / Non conformité,Épiceries (sauf supermarchés),Saint-Éphrem-de-Beauce
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Pratique trompeuse ou déloyale,Entreprises de vente directe,Montréal
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves,Chambly
2026-07,10040-Meubles,Qualité des biens et services,Autres types de commerce de détail,Edmonton
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Qualité des biens et services,Pose de bardeaux pour toits,Terrebonne
