reseau,ligne,type_plainte,periode,gravite,statut,nb_plaintes
RTC,801,Retard,Pointe,Moderee,Fermee,18
RTC,801,Affluence,Pointe,Moderee,Ouverte,12
RTC,800,Information,Hors_pointe,Faible,Fermee,7
RTC,807,Proprete,Hors_pointe,Faible,Fermee,5
RTC,807,Retard,Pointe,Elevee,Ouverte,14
STM,Orange,Retard,Pointe,Elevee,Fermee,42
STM,Orange,Affluence,Pointe,Moderee,Ouverte,36
STM,Verte,Information,Hors_pointe,Faible,Fermee,21
STM,Bleue,Proprete,Hors_pointe,Moderee,Fermee,13
STM,Jaune,Accessibilite,Pointe,Elevee,Ouverte,9
STL,24,Retard,Pointe,Moderee,Fermee,16
STL,24,Affluence,Pointe,Moderee,Ouverte,11
STL,42,Information,Hors_pointe,Faible,Fermee,8
STL,56,Proprete,Hors_pointe,Faible,Fermee,6
RTL,45,Retard,Pointe,Moderee,Fermee,19
RTL,45,Accessibilite,Pointe,Elevee,Ouverte,10
RTL,90,Information,Hors_pointe,Faible,Fermee,9
RTL,90,Affluence,Pointe,Moderee,Fermee,13
exo,Candiac,Retard,Pointe,Elevee,Ouverte,15
exo,Candiac,Information,Hors_pointe,Faible,Fermee,6
exo,Deux-Montagnes,Affluence,Pointe,Moderee,Fermee,17
exo,Deux-Montagnes,Proprete,Hors_pointe,Faible,Fermee,4
exo,Vaudreuil,Retard,Pointe,Elevee,Fermee,22
exo,Vaudreuil,Accessibilite,Hors_pointe,Moderee,Ouverte,7
