ville,arrondissement,type_requete,canal,priorite,statut,delai_jours
Quebec,Sainte-Foy,Denegement,Telephone,Normale,Fermee,4
Quebec,Sainte-Foy,Collecte,Web,Normale,Fermee,2
Quebec,Limoilou,Eclairage,Application,Elevee,Ouverte,6
Quebec,Limoilou,Nids-de-poule,Telephone,Elevee,Fermee,8
Quebec,Beauport,Collecte,Web,Normale,Fermee,3
Quebec,Beauport,Bruit,Telephone,Faible,Fermee,5
Montreal,Rosemont,Collecte,Application,Normale,Fermee,2
Montreal,Rosemont,Nids-de-poule,Web,Elevee,Ouverte,9
Montreal,Plateau,Bruit,Telephone,Faible,Fermee,4
Montreal,Plateau,Eclairage,Application,Normale,Fermee,5
Montreal,Villeray,Denegement,Web,Normale,Fermee,3
Montreal,Villeray,Collecte,Telephone,Normale,Ouverte,7
Sherbrooke,Jacques-Cartier,Eclairage,Web,Normale,Fermee,4
Sherbrooke,Jacques-Cartier,Bruit,Telephone,Faible,Fermee,6
Sherbrooke,Fleurimont,Nids-de-poule,Application,Elevee,Ouverte,10
Sherbrooke,Fleurimont,Collecte,Web,Normale,Fermee,3
Gatineau,Hull,Denegement,Telephone,Normale,Fermee,5
Gatineau,Hull,Eclairage,Application,Elevee,Fermee,7
Gatineau,Aylmer,Collecte,Web,Normale,Fermee,2
Gatineau,Aylmer,Bruit,Telephone,Faible,Ouverte,8
Levis,Vieux-Levis,Nids-de-poule,Web,Elevee,Fermee,9
Levis,Vieux-Levis,Collecte,Application,Normale,Fermee,3
Levis,Saint-Romuald,Eclairage,Telephone,Normale,Fermee,6
Levis,Saint-Romuald,Denegement,Web,Normale,Ouverte,7
