secteur,intersection,approche,direction_circulation,debit_total_24h,pourcentage_vehicules_lourds,annee
Gatineau,Canne / Stéphane,Nord,Sud,4800,1.2,2016
Gatineau,Canne / Stéphane,Nord,Nord,4800,1.2,2016
Gatineau,Canne / Stéphane,Est,Ouest,3800,2.2,2016
Gatineau,Canne / Stéphane,Est,Est,3800,2.2,2016
Gatineau,Canne / Stéphane,Sud,Sud,2700,1.6,2016
Gatineau,Canne / Stéphane,Sud,Nord,2700,1.6,2016
Gatineau,Cité / Lamarche,Nord,Sud,10800,NA,2016
Gatineau,Cité / Lamarche,Nord,Nord,10800,NA,2016
Gatineau,Cité / Lamarche,Sud,Nord,8900,NA,2016
Gatineau,Cité / Lamarche,Sud,Sud,8900,NA,2016
Gatineau,Cité / Lamarche,Est,Est,0,NA,2016
Gatineau,Cité / Lamarche,Ouest,Est,3700,NA,2016
Gatineau,Cité / Lamarche,Ouest,Ouest,3700,NA,2016
Gatineau,Maloney / Cité,Nord,Sud,9300,3.4,2016
Gatineau,Maloney / Cité,Nord,Nord,9300,3.4,2016
Gatineau,Maloney / Cité,Est,Ouest,31900,13.2,2016
Gatineau,Maloney / Cité,Est,Est,31900,13.2,2016
Gatineau,Maloney / Cité,Sud,Nord,12800,3.6,2016
Gatineau,Maloney / Cité,Sud,Sud,12800,3.6,2016
Gatineau,Maloney / Cité,Ouest,Est,28800,11.9,2016
Gatineau,Maloney / Cité,Ouest,Ouest,28800,11.9,2016
Hull,Grives / Vaudaire,Nord,Sud,600,37.9,2016
Hull,Grives / Vaudaire,Nord,Nord,600,37.9,2016
Hull,Grives / Vaudaire,Sud,Nord,700,46.7,2016
Hull,Grives / Vaudaire,Sud,Sud,700,46.7,2016
Hull,Grives / Vaudaire,Ouest,Est,400,29,2016
Hull,Grives / Vaudaire,Ouest,Est,400,29,2016
Gatineau,Lafrance / Nobert,Nord,Sud,0,0,2016
Gatineau,Lafrance / Nobert,Nord,Nord,0,0,2016
Gatineau,Lafrance / Nobert,Est,Ouest,1000,0,2016
Gatineau,Lafrance / Nobert,Est,Est,1000,0,2016
Gatineau,Lafrance / Nobert,Sud,Nord,600,0,2016
Gatineau,Lafrance / Nobert,Sud,Sud,600,0,2016
Gatineau,Lafrance / Nobert,Ouest,Est,1200,0,2016
Gatineau,Lafrance / Nobert,Ouest,Ouest,1200,0,2016
Hull,Thérien / d'Orsonnens,Nord,Sud,1000,41.4,2016
Hull,Thérien / d'Orsonnens,Nord,Nord,1000,41.4,2016
