date_visite,heure,campus,zone,visiteurs,temperature_c,pluie_mm,semaine_examens
2026-04-01,8,Quebec,Silence,34,5,0,non
2026-04-01,12,Quebec,Collaboration,58,7,0,non
2026-04-01,17,Levis,Ordinateurs,41,6,0.4,non
2026-04-02,9,Quebec,Silence,39,4,3.2,non
2026-04-02,14,Levis,Collaboration,44,5,2.1,non
2026-04-03,18,Quebec,Ordinateurs,63,8,0,non
2026-04-06,8,Quebec,Silence,52,9,0,oui
2026-04-06,12,Quebec,Collaboration,86,11,0,oui
2026-04-06,17,Levis,Ordinateurs,57,10,0.8,oui
2026-04-07,9,Quebec,Silence,61,8,1.5,oui
2026-04-07,14,Levis,Collaboration,66,9,0,oui
2026-04-08,18,Quebec,Ordinateurs,93,12,0,oui
2026-04-09,8,Quebec,Silence,55,7,4.2,oui
2026-04-09,12,Levis,Collaboration,62,8,5.1,oui
2026-04-10,17,Quebec,Ordinateurs,88,13,0,oui
2026-04-13,8,Quebec,Silence,37,10,0,non
2026-04-13,12,Quebec,Collaboration,54,12,0,non
2026-04-13,17,Levis,Ordinateurs,46,11,0.6,non
2026-04-14,9,Quebec,Silence,42,9,2.4,non
2026-04-14,14,Levis,Collaboration,47,10,1.0,non
2026-04-15,18,Quebec,Ordinateurs,68,14,0,non
2026-04-16,8,Quebec,Silence,35,6,,non
2026-04-16,12,Levis,Collaboration,49,7,3.0,non
2026-04-17,17,Quebec,Ordinateurs,71,15,0,non
