commit_id,membre_id,date_commit,type_contribution,fichier,lignes_modifiees
C001,M01,2026-02-10,structure,README.md,32
C002,M02,2026-02-10,donnees,rapport.qmd,48
C003,M03,2026-02-11,reproductibilite,rapport.qmd,21
C004,M04,2026-02-11,interpretation,rapport.qmd,36
C005,M02,2026-02-12,visualisation,rapport.qmd,44
C006,M03,2026-02-12,rendu,rapport.html,10
C007,M09,2026-02-12,donnees,notes_temp.txt,7
C008,M01,2026-02-13,merge,README.md,12
C009,M06,2026-02-13,donnees,rapport.qmd,51
C010,M07,2026-02-13,reproductibilite,rapport.qmd,26
C011,M08,2026-02-14,interpretation,rapport.qmd,33
C012,M05,2026-02-14,structure,README.md,29
