annee,question,reponse,nb_reponses,pourcentage
2020,3,Consulter les jeux de données les plus récents,NA,NA
2020,3,Télécharger des jeux de données que je n’avais pas,NA,NA
2020,3,Obtenir les plus récentes mises à jour des jeux de données que j’utilisais déjà (incluant par API),NA,NA
2020,3,Faire des demandes de jeux de données ou communiquer avec l’équipe du portail,NA,NA
2020,3,Découvrir les applications développées avec les données,NA,NA
2020,3,Lire les articles de la section Quoi de neuf?,NA,NA
2020,3,"En apprendre plus sur les données ouvertes (licence d’utilisation, normes de diffusion)",NA,NA
2020,3,Autre,NA,NA
2020,6,Développement d’applications et de solutions qui ont généré des revenus,1,1.1
2020,6,Développement d’applications et de solutions à d’autres fins,10,11.4
2020,6,Recherche étudiante,3,3.4
2020,6,Recherche scientifique professionnelle,9,10.2
2020,6,Utilisation journalistique,2,2.3
2020,6,Autre utilisation professionnelle,15,17
2020,6,Utilisation personnelle,12,13.6
2020,6,Je n’ai pas utilisé les données téléchargées,4,4.5
2020,6,Je n'ai jamais téléchargé de données (ne s'applique pas),9,10.2
2020,6,Autre,23,26.1
2020,11,Étudiant,0,0
2020,11,Journaliste,2,4.9
2020,11,Développeur d’applications,3,7.3
2020,11,Chercheur,1,2.4
2020,11,Entrepreneur ou employé dans une entreprise privée,7,17.1
2020,11,"Représentant d’une association, d’un organisme sans but lucratif ou d’une collectivité",5,12.2
2020,11,Employé d’un ministère ou d’un organisme du gouvernement du Québec,16,39
2020,11,Employé d’une municipalité,1,2.4
2020,11,Intérêt personnel,6,14.6
2020,11,Autre,0,0
2021,3,Consulter les jeux de données les plus récents,171,34.5
2021,3,Télécharger des jeux de données que je n’avais pas,126,25.5
2021,3,Obtenir les plus récentes mises à jour des jeux de données que j’utilisais déjà (incluant par API),74,14.9
2021,3,Faire des demandes de jeux de données ou communiquer avec l’équipe du portail,16,3.2
2021,3,Découvrir les applications développées avec les données,24,4.8
2021,3,Lire les articles de la section Quoi de neuf?,16,3.2
2021,3,"En apprendre plus sur les données ouvertes (licence d’utilisation, normes de diffusion)",51,10.3
2021,3,Autre,17,3.4
2021,6,Développement d’applications et de solutions qui ont généré des revenus,1,0.3
2021,6,Développement d’applications et de solutions à d’autres fins,18,6.3
2021,6,Recherche étudiante,17,5.9
2021,6,Recherche scientifique professionnelle,31,10.8
2021,6,Utilisation journalistique,3,1
2021,6,Autre utilisation professionnelle,59,20.6
2021,6,Utilisation personnelle,89,31.1
2021,6,Je n’ai pas utilisé les données téléchargées,25,8.7
2021,6,Ne s'applique pas,39,13.6
2021,6,Autre,4,1.4
2021,11,Étudiant,19,6.5
2021,11,Journaliste,3,1
2021,11,Développeur d’applications,8,2.7
2021,11,Chercheur,15,5.2
2021,11,Entrepreneur ou employé dans une entreprise privée,33,11.3
2021,11,"Représentant d’une association, d’un organisme sans but lucratif ou d’une collectivité",21,7.2
2021,11,Employé d’un ministère ou d’un organisme du gouvernement du Québec,48,16.5
2021,11,Employé d’une municipalité,11,3.8
2021,11,Intérêt personnel,128,44
2021,11,Autre,5,1.7
2022,3,Consulter les jeux de données les plus récents,176,32.9
2022,3,Télécharger des jeux de données que je n’avais pas,146,27.3
2022,3,Obtenir les plus récentes mises à jour des jeux de données que j’utilisais déjà (incluant par API),94,17.6
2022,3,Faire des demandes de jeux de données ou communiquer avec l’équipe du portail,12,2.2
2022,3,Découvrir les applications développées avec les données,19,3.6
2022,3,Lire les articles de la section Quoi de neuf?,11,2.1
2022,3,"En apprendre plus sur les données ouvertes (licence d’utilisation, normes de diffusion)",48,9
2022,3,Autre,29,5.4
2022,6,Développement d’applications et de solutions qui ont généré des revenus,9,3.1
2022,6,Développement d’applications et de solutions à d’autres fins,19,6.5
2022,6,Recherche étudiante,28,9.6
2022,6,Recherche scientifique professionnelle,39,13.4
2022,6,Utilisation journalistique,1,0.3
2022,6,Autre utilisation professionnelle,84,28.9
2022,6,Utilisation personnelle,59,20.3
2022,6,Je n’ai pas utilisé les données téléchargées,21,7.2
2022,6,Ne s'applique pas,24,8.2
