code_municipalite,municipalite,type_municipalite,region,indice_validite_pct,branchements_non_residentiels_comptes_pct,validite_disponible
88055,Amos,Ville,Abitibi-Témiscamingue,59,0.08867925,TRUE
87050,Authier,Municipalité,Abitibi-Témiscamingue,,,FALSE
87100,Authier-Nord,Municipalité,Abitibi-Témiscamingue,,,FALSE
88022,Barraute,Municipalité,Abitibi-Témiscamingue,57,0,TRUE
89050,Belcourt,Municipalité,Abitibi-Témiscamingue,,,FALSE
85065,Belleterre,Ville,Abitibi-Témiscamingue,,,FALSE
88070,Berry,Municipalité,Abitibi-Témiscamingue,,,FALSE
85020,Béarn,Municipalité,Abitibi-Témiscamingue,65,0.89285714,TRUE
88005,Champneuf,Municipalité,Abitibi-Témiscamingue,,,FALSE
87095,Chazel,Municipalité,Abitibi-Témiscamingue,,,FALSE
87110,Clermont (08),Canton,Abitibi-Témiscamingue,,,FALSE
87075,Clerval,Municipalité,Abitibi-Témiscamingue,,,FALSE
85030,Duhamel-Ouest,Municipalité,Abitibi-Témiscamingue,,,FALSE
87005,Duparquet,Ville,Abitibi-Témiscamingue,59,0,TRUE
87085,Dupuy,Municipalité,Abitibi-Témiscamingue,59,0,TRUE
85055,Fugèreville,Municipalité,Abitibi-Témiscamingue,,,FALSE
87020,Gallichan,Municipalité,Abitibi-Témiscamingue,57,0,TRUE
85095,Guérin,Canton,Abitibi-Témiscamingue,57,0.8,TRUE
85010,Kipawa,Municipalité,Abitibi-Témiscamingue,59,,TRUE
88030,La Corne,Municipalité,Abitibi-Témiscamingue,,,FALSE
88012,La Morandière-Rochebaucourt,Municipalité,Abitibi-Témiscamingue,,,FALSE
88045,La Motte,Municipalité,Abitibi-Témiscamingue,,,FALSE
87080,La Reine,Municipalité,Abitibi-Témiscamingue,59,0,TRUE
87090,La Sarre,Ville,Abitibi-Témiscamingue,57,0.00687285,TRUE
85070,Laforce,Municipalité,Abitibi-Témiscamingue,,,FALSE
88035,Landrienne,Canton,Abitibi-Témiscamingue,69,0.81818182,TRUE
85060,Latulipe-Et-Gaboury,Cantons unis,Abitibi-Témiscamingue,59,0,TRUE
88080,Launay,Canton,Abitibi-Témiscamingue,,,FALSE
85052,Laverlochère-Angliers,Municipalité,Abitibi-Témiscamingue,60,0.81818182,TRUE
85037,Lorrainville,Municipalité,Abitibi-Témiscamingue,59,0,TRUE
87058,Macamic,Ville,Abitibi-Témiscamingue,59,0.96153846,TRUE
89015,Malartic,Ville,Abitibi-Témiscamingue,58,0.40540541,TRUE
85075,Moffet,Municipalité,Abitibi-Témiscamingue,,,FALSE
87115,Normétal,Municipalité,Abitibi-Témiscamingue,,,FALSE
85090,Notre-Dame-Du-Nord,Municipalité,Abitibi-Témiscamingue,61,0.89285714,TRUE
85100,Nédélec,Canton,Abitibi-Témiscamingue,58,0,TRUE
87025,Palmarolle,Municipalité,Abitibi-Témiscamingue,,,FALSE
87035,Poularies,Municipalité,Abitibi-Témiscamingue,,,FALSE
88090,Preissac,Municipalité,Abitibi-Témiscamingue,,,FALSE
87010,Rapide-Danseur,Municipalité,Abitibi-Témiscamingue,,,FALSE
89010,Rivière-Héva,Municipalité,Abitibi-Témiscamingue,,,FALSE
87015,Roquemaure,Municipalité,Abitibi-Témiscamingue,,,FALSE
86042,Rouyn-Noranda,Ville,Abitibi-Témiscamingue,65,0.95968791,TRUE
85105,Rémigny,Municipalité,Abitibi-Témiscamingue,,,FALSE
85045,Saint-Bruno-De-Guigues,Municipalité,Abitibi-Témiscamingue,66,0.88888889,TRUE
88065,Saint-Dominique-Du-Rosaire,Municipalité,Abitibi-Témiscamingue,,,FALSE
85085,Saint-Eugène-De-Guigues,Municipalité,Abitibi-Témiscamingue,58,0,TRUE
88060,Saint-Félix-De-Dalquier,Municipalité,Abitibi-Témiscamingue,,,FALSE
87120,Saint-Lambert (08),Paroisse,Abitibi-Témiscamingue,,,FALSE
88040,Saint-Marc-De-Figuery,Paroisse,Abitibi-Témiscamingue,,,FALSE
88050,Saint-Mathieu-D'harricana,Municipalité,Abitibi-Témiscamingue,,,FALSE
