jeu_id,producteur,categorie,titre,description,nb_ressources,date_mise_a_jour,licence,date_instantane
pistes-cyclables-standard,Ville de Gatineau,Infrastructures; Transport,Pistes cyclables,Pistes cyclables (standard du hackathon provincial à Sherbrooke du 10 au 12 mars 2017),5,2025-11-25,Attribution (CC-BY 4.0),2026-07-11
calendrier-de-collecte-des-matieres-residuelles-hackqc-2018,Ville de Gatineau,"Environnement, ressources naturelles et énergie",Calendrier de collecte des matières résiduelles (HackQC 2018),Le calendrier de collecte des matières résiduelles diffusé selon la norme des partenaires.,1,2025-04-24,Attribution (CC-BY 4.0),2026-07-11
courbes-de-niveaux-est,Ville de Gatineau,"Environnement, ressources naturelles et énergie",Courbes de niveaux (est),Courbe de niveau ou isoplèthe d'altitude de l'ensemble du territoire de la Ville de Gatineau (ligne formée par les points du relief situés à la même altitude ou la ligne d'intersection d'un plan horizontal avec le relief du terrain),2,2025-04-24,Attribution (CC-BY 4.0),2026-07-11
courbes-de-niveaux-ouest,Ville de Gatineau,"Environnement, ressources naturelles et énergie",Courbes de niveaux (ouest),Courbe de niveau ou isoplèthe d'altitude de l'ensemble du territoire de la Ville de Gatineau (ligne formée par les points du relief situés à la même altitude ou la ligne d'intersection d'un plan horizontal avec le relief du terrain),2,2025-04-24,Attribution (CC-BY 4.0),2026-07-11
zones-de-grand-et-faible-courant-des-rivieres-des-outaouais-gatineau,Ville de Gatineau,"Environnement, ressources naturelles et énergie",Zones de grand et faible courant des rivières des Outaouais et Gatineau Annexe E - règlement de zonage 502-2005 - amendement 502-237-2017,"Cette carte localise les zones de grand courant et de faible courant des rivières des Outaouais et Gatineau. La zone de faible courant correspond à la partie de la plaine inondable, au-delà de la limite de la zone de grand courant, qui peut être inondée lors d’une crue de récurrence de 100 ans. La zone de grand courant qui correspond à la partie d’une plaine inondable qui peut être inondée lors d’une crue de récurrence de 20 ans. La plaine inondable correspond à l’espace occupé par un lac ou un cours d’eau en période de crue au sens de la Politique de protection des rives du littoral et des plaines inondables. Annexe E - règlement de zonage 502-2005 - amendement 502-237-2017, en vigueur le 24 juillet 2017 Sources : Annexe E - règlement de zonage 502-2005 - amendement 502-237-2017, en vigueur le 24 juillet 2017 Ville de Gatineau, Service de l'urbanisme et du développement durable, Mai 2014, Cartographie des zones de grands et de faibles courants des rivières des Outaouais et Gatineau issu de deux sources: JFSA, Avril 2014, Détermination et cartographie des cotes de crues en eau libre de la rivière Gatineau. 995-14 Centre d'expertise hydrique du Québec, Mars 2008, Détermination des cotes de crues correspondant à la zone de grand courant et à la zone de faible courant, Rivière des Outaouais, CEHQ 07-114. La zone de faible courant correspond à la partie de la plaine inondable, au-delà de la limite de la zone de grand courant, qui peut être inondée lors d’une crue de récurrence de 100 ans. La zone de grand courant qui correspond à la partie d’une plaine inondable qui peut être inondée lors d’une crue de récurrence de 20 ans. La plaine inondable correspond à l’espace occupé par un lac ou un cours d’eau en période de crue au sens de la Politique de protection des rives du littoral et des plaines inondables. Annexe E - règlement de zonage 502-2005 - amendement 502-237-2017, en vigueur le 24 juillet 2017",3,2025-04-24,Attribution (CC-BY 4.0),2026-07-11
chantiers-routiers,Ville de Laval,Infrastructures; Transport,Chantiers routiers,Liste des obstructions complètes ou partielles d’une voie publique avec géolocalisation et période de temps de celle-ci.,4,2026-07-09,Attribution (CC-BY 4.0),2026-07-11
offres-d-emploi,Ville de Laval,Politiques sociales,Offres d'emploi,Ensemble de données sur les offres d'emploi sur les territoires de la Ville de Laval.,3,2026-07-06,Attribution (CC-BY 4.0),2026-07-11
cdu-type-milieux,Ville de Laval,"Infrastructures; Loi, justice et sécurité publique",Type de milieux du CDU,"Cartographie du zonage en vigueur, selon les types de milieux, établi dans le code de l’urbanisme (CDU) sur le territoire lavallois.",4,2026-06-18,Attribution (CC-BY 4.0),2026-07-11
limites-des-districts-electoraux-des-dernieres-elections-municipales,Ville de Laval,"Gouvernement et finances; Loi, justice et sécurité publique",Limites des districts électoraux des dernières élections municipales,Délimitation des districts électoraux des dernières élections municipales. Chaque district est représenté par un(e) conseiller(ère) municipal(e) élu(e) par les électeurs du district.,4,2026-05-20,Attribution (CC-BY 4.0),2026-07-11
limite-section-de-vote,Ville de Laval,"Gouvernement et finances; Loi, justice et sécurité publique",Limites des sections de vote des dernières élections municipales,Délimitation des sections de vote de chacun des districts électoraux des dernières élections municipales,4,2026-05-13,Attribution (CC-BY 4.0),2026-07-11
cdu-piia-territoire-riverain,Ville de Laval,"Infrastructures; Loi, justice et sécurité publique",PIIA territoire riverain du CDU,Cartographie du PIIA (plan d’implantation et d’intégration architecturale) « Territoire riverain » dans le code de l’urbanisme (CDU) sur le territoire lavallois.,4,2026-04-10,Attribution (CC-BY 4.0),2026-07-11
cdu-piia-vitrine-autoroutiere,Ville de Laval,"Infrastructures; Loi, justice et sécurité publique",PIIA vitrine autoroutière du CDU,Cartographie du PIIA (plan d’implantation et d’intégration architecturale) « Vitrine autoroutière » dans le code de l’urbanisme (CDU) sur le territoire lavallois.,4,2026-04-10,Attribution (CC-BY 4.0),2026-07-11
cdu-piia-zone-amenagement-ecologique-particuliere,Ville de Laval,"Infrastructures; Loi, justice et sécurité publique",PIIA zone d’aménagement écologique particulière du CDU,Cartographie du PIIA (plan d’implantation et d’intégration architecturale) « ZAEP » (zone d’aménagement écologique particulière) dans le code de l’urbanisme (CDU) sur le territoire lavallois.,4,2026-04-10,Attribution (CC-BY 4.0),2026-07-11
